Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
635: 0.25,541: 0.175,983: 0.175,721: 0.175,568: 0.175
635: 0.25,541: 0.175,983: 0.175,721: 0.175,568: 0.175
635: 0.25,721: 0.175,568: 0.175,541: 0.175,983: 0.175
635: 0.25,721: 0.175,568: 0.175,541: 0.175,983: 0.175
635: 0.25,568: 0.175,721: 0.175,541: 0.175,983: 0.175
635: 0.25,721: 0.175,568: 0.175,541: 0.175,983: 0.175
635: 0.25,541: 0.175,983: 0.175,721: 0.175,568: 0.175
635: 0.25,541: 0.175,983: 0.175,721: 0.175,568: 0.175
635: 0.25,721: 0.175,568: 0.175,541: 0.175,983: 0.175
635: 0.25,568: 0.175,721: 0.175,983: 0.175,541: 0.175
81: 0.175,915: 0.175,650: 0.175,880: 0.175,983: 0.175
81: 0.175,915: 0.175,650: 0.175,880: 0.175,983: 0.175
81: 0.175,915: 0.175,650: 0.175,880: 0.175,983: 0.175
915: 0.175,650: 0.175,880: 0.175,81: 0.175,667: 0.175
81: 0.175,915: 0.175,880: 0.175,650: 0.175,916: 0.175
81: 0.175,915: 0.175,650: 0.175,880: 0.175,983: 0.175
650: 0.175,880: 0.175,726: 0.175,721: 0.175,866: 0.175
915: 0.175,880: 0.175,650: 0.175,81: 0.175,667: 0.175
915: 0.175,650: 0.175,880: 0.175,81: 0.175,389: 0.175
81: 0.175,915: 0.175,650: 0.175,880: 0.175,541: 0.175
396: 0.5,918: 0.375,141: 0.375,389: 0.375,522: 0.35000002
396: 0.3,918: 0.275,141: 0.275,389: 0.275,522: 0.25
396: 0.70000005,918: 0.575,141: 0.575,389: 0.575,465: 0.55
396: 0.5,918: 0.47500002,141: 0.47500002,389: 0.47500002,465: 0.45000002
396: 0.70000005,918: 0.575,141: 0.575,389: 0.575,465: 0.55
396: 0.70000005,141: 0.47500002,918: 0.47500002,389: 0.47500002,465: 0.45000002
396: 0.5,141: 0.375,918: 0.375,389: 0.375,465: 0.35000002
396: 0.90000004,918: 0.575,141: 0.575,389: 0.575,465: 0.55
396: 0.70000005,918: 0.575,141: 0.575,389: 0.575,522: 0.55
