Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
814: 0.15835,953: 0.14165,919: 0.13335,721: 0.11665,28: 0.11665
814: 0.15835,953: 0.14165,919: 0.13335,721: 0.11665,28: 0.11665
814: 0.15835,953: 0.14165,919: 0.13335,28: 0.11665,721: 0.11665
814: 0.15835,953: 0.14165,919: 0.13335,28: 0.11665,721: 0.11665
814: 0.15835,953: 0.14165,919: 0.13335,28: 0.11665,721: 0.11665
814: 0.15835,953: 0.14165,919: 0.13335,28: 0.11665,721: 0.11665
814: 0.15835,953: 0.14165,919: 0.13335,721: 0.11665,28: 0.11665
814: 0.15835,953: 0.14165,919: 0.13335,721: 0.11665,28: 0.11665
814: 0.15835,953: 0.14165,919: 0.13335,28: 0.11665,721: 0.11665
814: 0.15835,953: 0.14165,919: 0.13335,28: 0.11665,721: 0.11665
880: 0.175,81: 0.16665,782: 0.15835,942: 0.15835,866: 0.15835
880: 0.175,81: 0.16665,782: 0.15835,942: 0.15835,866: 0.15835
880: 0.175,81: 0.16665,782: 0.15835,942: 0.15835,866: 0.15835
880: 0.175,81: 0.16665,782: 0.15835,942: 0.15835,866: 0.15835
880: 0.175,81: 0.16665,942: 0.15835,782: 0.15835,866: 0.15835
880: 0.175,81: 0.16665,782: 0.15835,942: 0.15835,844: 0.15835
880: 0.175,81: 0.16665,866: 0.15835,844: 0.15835,782: 0.15835
880: 0.175,81: 0.16665,942: 0.15835,782: 0.15835,866: 0.15835
880: 0.175,81: 0.16665,782: 0.15835,942: 0.15835,844: 0.15835
880: 0.175,81: 0.16665,782: 0.15835,942: 0.15835,866: 0.15835
522: 0.15835,918: 0.15835,141: 0.15835,395: 0.15,389: 0.15
522: 0.15835,918: 0.15835,141: 0.15835,395: 0.15,389: 0.15
522: 0.15835,918: 0.15835,141: 0.15835,395: 0.15,389: 0.15
522: 0.15835,918: 0.15835,141: 0.15835,395: 0.15,389: 0.15
918: 0.15835,141: 0.15835,522: 0.15835,395: 0.15,389: 0.15
