Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
996: 0.175,919: 0.175,953: 0.175,653: 0.125,814: 0.125
996: 0.175,919: 0.175,953: 0.175,653: 0.125,814: 0.125
996: 0.175,919: 0.175,953: 0.175,814: 0.125,653: 0.125
996: 0.175,919: 0.175,953: 0.175,653: 0.125,814: 0.125
996: 0.175,919: 0.175,953: 0.175,814: 0.125,653: 0.125
996: 0.175,919: 0.175,953: 0.175,653: 0.125,814: 0.125
996: 0.175,919: 0.175,953: 0.175,814: 0.125,653: 0.125
996: 0.175,919: 0.175,953: 0.175,653: 0.125,814: 0.125
996: 0.175,919: 0.175,953: 0.175,653: 0.125,814: 0.125
996: 0.175,919: 0.175,953: 0.175,653: 0.125,814: 0.125
119: 0.175,110: 0.175,389: 0.175,866: 0.175,996: 0.175
119: 0.175,110: 0.175,389: 0.175,866: 0.175,996: 0.175
866: 0.175,996: 0.175,119: 0.175,919: 0.175,389: 0.175
119: 0.175,110: 0.175,389: 0.175,866: 0.175,996: 0.175
119: 0.175,110: 0.175,389: 0.175,866: 0.175,996: 0.175
119: 0.175,110: 0.175,389: 0.175,866: 0.175,996: 0.175
119: 0.175,389: 0.175,996: 0.175,866: 0.175,919: 0.175
866: 0.175,996: 0.175,119: 0.175,919: 0.175,389: 0.175
996: 0.175,866: 0.175,119: 0.175,919: 0.175,389: 0.175
880: 0.175,832: 0.175,116: 0.175,119: 0.175,389: 0.175
141: 0.275,457: 0.175,515: 0.175,918: 0.175,389: 0.175
141: 0.275,457: 0.175,515: 0.175,918: 0.175,389: 0.175
141: 0.275,457: 0.175,395: 0.175,918: 0.175,389: 0.175
141: 0.275,457: 0.175,395: 0.175,918: 0.175,389: 0.175
141: 0.275,457: 0.175,515: 0.175,918: 0.175,389: 0.175
141: 0.275,457: 0.175,515: 0.175,918: 0.175,389: 0.175
141: 0.275,457: 0.175,395: 0.175,918: 0.175,389: 0.175
141: 0.275,457: 0.175,395: 0.175,918: 0.175,389: 0.175
141: 0.275,457: 0.175,395: 0.175,918: 0.175,389: 0.175
832: 0.175,122: 0.175,18: 0.175,888: 0.15,46: 0.125
832: 0.175,122: 0.175,18: 0.175,888: 0.15,46: 0.125
832: 0.175,122: 0.175,18: 0.175,888: 0.15,46: 0.125
832: 0.175,122: 0.175,18: 0.175,888: 0.15,46: 0.125
832: 0.175,122: 0.175,18: 0.175,888: 0.15,46: 0.125
832: 0.175,122: 0.175,18: 0.175,888: 0.15,46: 0.125
832: 0.175,122: 0.175,18: 0.175,888: 0.15,46: 0.125
122: 0.175,18: 0.175,832: 0.175,888: 0.15,960: 0.125
832: 0.175,122: 0.175,18: 0.175,888: 0.15,46: 0.125
832: 0.175,122: 0.175,960: 0.125,976: 0.125,547: 0.125
832: 0.175,122: 0.175,18: 0.175,888: 0.15,849: 0.125
107: 0.175,465: 0.125,407: 0.125,342: 0.125,246: 0.125
107: 0.175,465: 0.125,407: 0.125,342: 0.125,246: 0.125
107: 0.175,465: 0.125,407: 0.125,342: 0.125,246: 0.125
107: 0.175,465: 0.125,407: 0.125,342: 0.125,246: 0.125
107: 0.175,755: 0.125,296: 0.125,838: 0.125,407: 0.125
107: 0.175,342: 0.125,562: 0.125,396: 0.125,286: 0.125
107: 0.175,396: 0.125,296: 0.125,838: 0.125,562: 0.125
107: 0.175,396: 0.125,296: 0.125,838: 0.125,562: 0.125
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
448: 0.175,283: 0.125,407: 0.125,711: 0.125,198: 0.125
448: 0.175,283: 0.125,407: 0.125,711: 0.125,198: 0.125
448: 0.175,283: 0.125,407: 0.125,711: 0.125,198: 0.125
448: 0.175,283: 0.125,407: 0.125,711: 0.125,198: 0.125
448: 0.175,180: 0.125,675: 0.125,547: 0.125,189: 0.125
448: 0.175,675: 0.125,189: 0.125,547: 0.125,819: 0.125
448: 0.175,283: 0.125,654: 0.125,385: 0.125,149: 0.125
448: 0.175,596: 0.125,825: 0.125,633: 0.125,102: 0.125
448: 0.175,283: 0.125,711: 0.125,407: 0.125,451: 0.125
448: 0.175,596: 0.125,426: 0.125,633: 0.125,825: 0.125
122: 0.175,109: 0.175,780: 0.175,448: 0.175,871: 0.175
122: 0.175,109: 0.175,780: 0.175,448: 0.175,871: 0.175
122: 0.175,109: 0.175,780: 0.175,448: 0.175,871: 0.175
122: 0.175,109: 0.175,780: 0.175,871: 0.175,448: 0.175
109: 0.175,122: 0.175,780: 0.175,871: 0.175,448: 0.175
122: 0.175,109: 0.175,780: 0.175,448: 0.175,871: 0.175
122: 0.175,109: 0.175,404: 0.175,780: 0.175,871: 0.175
448: 0.175,921: 0.175,407: 0.125,711: 0.125,430: 0.125
921: 0.175,871: 0.175,448: 0.175,780: 0.175,996: 0.175
448: 0.175,921: 0.175,596: 0.125,342: 0.125,627: 0.125
921: 0.175,448: 0.175,283: 0.125,430: 0.125,89: 0.125
921: 0.175,448: 0.175,102: 0.125,825: 0.125,702: 0.125
448: 0.175,921: 0.175,407: 0.125,711: 0.125,89: 0.125
921: 0.175,448: 0.175,152: 0.125,702: 0.125,633: 0.125
