Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
732: 0.20414999,919: 0.19165,953: 0.19165,721: 0.16665,629: 0.16665
919: 0.24165002,953: 0.24165002,629: 0.21665001,728: 0.21665001,617: 0.21665001
732: 0.40415,919: 0.29165,953: 0.29165,629: 0.26665002,728: 0.26665002
732: 0.50415003,919: 0.34165,953: 0.34165,629: 0.31665,728: 0.31665
732: 0.40415,953: 0.34165,728: 0.31665,617: 0.31665,721: 0.31665
953: 0.34165,617: 0.31665,721: 0.31665,998: 0.30835,978: 0.30835
953: 0.29165,617: 0.26665002,721: 0.26665002,680: 0.25835,660: 0.25835
953: 0.34165,728: 0.31665,721: 0.31665,998: 0.30835,978: 0.30835
732: 0.30415,919: 0.24165002,953: 0.24165002,629: 0.21665001,728: 0.21665001
732: 0.20414999,919: 0.19165,953: 0.19165,629: 0.16665,728: 0.16665
998: 0.40835002,910: 0.4,726: 0.4,251: 0.375,782: 0.3625
782: 0.5625,922: 0.55415,962: 0.51665,842: 0.50415003,726: 0.5
782: 0.2625,922: 0.25415,962: 0.21665001,942: 0.21665,785: 0.21665
782: 0.5625,922: 0.55415,962: 0.51665,998: 0.50835,842: 0.50415003
782: 0.2625,922: 0.25415,962: 0.21665001,942: 0.21665,785: 0.21665
922: 0.35415,842: 0.30415,910: 0.3,251: 0.275,942: 0.26665
726: 0.5,910: 0.5,251: 0.47500002,782: 0.4625,922: 0.45415002
782: 0.5625,922: 0.55415,962: 0.51665,998: 0.50835,842: 0.50415003
782: 0.4625,922: 0.45415002,962: 0.41665,998: 0.40835002,842: 0.40415
782: 0.3625,922: 0.35415,962: 0.31665,998: 0.30835,842: 0.30415
522: 0.1625,141: 0.15835,395: 0.15835,389: 0.15,457: 0.14165
522: 0.1625,395: 0.15835,141: 0.15835,389: 0.15,457: 0.14165
522: 0.1625,141: 0.15835,395: 0.15835,389: 0.15,457: 0.14165
522: 0.1625,395: 0.15835,141: 0.15835,389: 0.15,457: 0.14165
522: 0.1625,141: 0.15835,395: 0.15835,389: 0.15,457: 0.14165
522: 0.1625,141: 0.15835,395: 0.15835,389: 0.15,457: 0.14165
522: 0.1625,395: 0.15835,141: 0.15835,389: 0.15,457: 0.14165
522: 0.1625,395: 0.15835,141: 0.15835,389: 0.15,457: 0.14165
522: 0.1625,395: 0.15835,141: 0.15835,389: 0.15,457: 0.14165
976: 0.40415,122: 0.30835003,714: 0.2875,15: 0.27085,583: 0.26665002
832: 0.20835,122: 0.20835,976: 0.20414999,74: 0.19165,714: 0.1875
976: 0.40415,122: 0.35835,15: 0.32085,721: 0.31665,547: 0.3125
976: 0.40415,714: 0.38750002,122: 0.35835,832: 0.35835,74: 0.34165
122: 0.25835,15: 0.22084999,721: 0.21665001,583: 0.21665001,31: 0.2125
976: 0.50415003,714: 0.4875,832: 0.35835,122: 0.35835,74: 0.34165
976: 0.45415002,714: 0.38750002,122: 0.35835,832: 0.35835,74: 0.34165
976: 0.45415002,714: 0.38750002,122: 0.35835,832: 0.35835,74: 0.34165
832: 0.25835,122: 0.25835,976: 0.25415,74: 0.24165002,547: 0.2125
832: 0.20835,122: 0.20835,74: 0.19165,547: 0.1625,31: 0.1625
976: 0.35415,832: 0.30835003,122: 0.30835003,74: 0.29165,714: 0.2875
838: 0.11665,465: 0.1125,429: 0.1125,107: 0.10835,755: 0.10835
838: 0.11665,429: 0.1125,465: 0.1125,755: 0.10835,107: 0.10835
838: 0.11665,465: 0.1125,429: 0.1125,107: 0.10835,755: 0.10835
838: 0.11665,465: 0.1125,429: 0.1125,107: 0.10835,755: 0.10835
838: 0.11665,465: 0.1125,429: 0.1125,107: 0.10835,755: 0.10835
838: 0.11665,465: 0.1125,429: 0.1125,396: 0.10835,562: 0.10835
838: 0.11665,465: 0.1125,429: 0.1125,562: 0.10835,396: 0.10835
838: 0.11665,465: 0.1125,429: 0.1125,396: 0.10835,562: 0.10835
909: 0.17500001,None,None,None,None
909: 0.17500001,None,None,None,None
909: 0.17500001,None,None,None,None
909: 0.17500001,None,None,None,None
909: 0.17500001,None,None,None,None
909: 0.17500001,None,None,None,None
909: 0.17500001,None,None,None,None
152: 0.14165,149: 0.125,633: 0.12085,819: 0.11665,655: 0.11665
152: 0.14165,149: 0.125,633: 0.12085,819: 0.11665,655: 0.11665
152: 0.14165,149: 0.125,633: 0.12085,819: 0.11665,655: 0.11665
152: 0.14165,149: 0.125,633: 0.12085,819: 0.11665,655: 0.11665
152: 0.14165,149: 0.125,633: 0.12085,819: 0.11665,583: 0.11665
152: 0.14165,149: 0.125,633: 0.12085,819: 0.11665,655: 0.11665
152: 0.14165,149: 0.125,633: 0.12085,819: 0.11665,655: 0.11665
152: 0.14165,149: 0.125,633: 0.12085,819: 0.11665,655: 0.11665
152: 0.14165,149: 0.125,633: 0.12085,819: 0.11665,655: 0.11665
152: 0.14165,149: 0.125,633: 0.12085,655: 0.11665,583: 0.11665
780: 0.16665,871: 0.1625,122: 0.15835,839: 0.15835,152: 0.14165
780: 0.16665,871: 0.1625,122: 0.15835,839: 0.15835,152: 0.14165
780: 0.16665,871: 0.1625,122: 0.15835,839: 0.15835,152: 0.14165
780: 0.16665,871: 0.1625,122: 0.15835,839: 0.15835,921: 0.14585
780: 0.16665,871: 0.1625,122: 0.15835,839: 0.15835,152: 0.14165
780: 0.16665,871: 0.1625,122: 0.15835,839: 0.15835,921: 0.14585
780: 0.16665,871: 0.1625,122: 0.15835,839: 0.15835,921: 0.14585
780: 0.16665,871: 0.1625,122: 0.15835,839: 0.15835,921: 0.14585
921: 0.14585,152: 0.14165,149: 0.125,15: 0.12085,633: 0.12085
921: 0.14585,152: 0.14165,149: 0.125,15: 0.12085,633: 0.12085
921: 0.14585,152: 0.14165,149: 0.125,633: 0.12085,15: 0.12085
921: 0.14585,152: 0.14165,149: 0.125,15: 0.12085,633: 0.12085
921: 0.14585,152: 0.14165,149: 0.125,633: 0.12085,15: 0.12085
921: 0.14585,152: 0.14165,149: 0.125,15: 0.12085,633: 0.12085
921: 0.14585,152: 0.14165,149: 0.125,633: 0.12085,15: 0.12085
921: 0.14585,152: 0.14165,149: 0.125,633: 0.12085,15: 0.12085
780: 0.16665,141: 0.15835,882: 0.15415,76: 0.15415,778: 0.14165
780: 0.16665,141: 0.15835,882: 0.15415,76: 0.15415,778: 0.14165
780: 0.16665,141: 0.15835,882: 0.15415,76: 0.15415,778: 0.14165
780: 0.16665,141: 0.15835,76: 0.15415,882: 0.15415,778: 0.14165
780: 0.16665,141: 0.15835,882: 0.15415,76: 0.15415,778: 0.14165
780: 0.16665,141: 0.15835,76: 0.15415,882: 0.15415,778: 0.14165
780: 0.16665,141: 0.15835,76: 0.15415,882: 0.15415,778: 0.14165
780: 0.16665,141: 0.15835,76: 0.15415,882: 0.15415,778: 0.14165
942: 0.16665,913: 0.15835,141: 0.15835,76: 0.15415,929: 0.15415
942: 0.16665,913: 0.15835,141: 0.15835,76: 0.15415,929: 0.15415
942: 0.16665,913: 0.15835,141: 0.15835,76: 0.15415,929: 0.15415
942: 0.16665,913: 0.15835,141: 0.15835,76: 0.15415,929: 0.15415
942: 0.16665,141: 0.15835,913: 0.15835,76: 0.15415,922: 0.15415
942: 0.16665,141: 0.15835,913: 0.15835,76: 0.15415,922: 0.15415
