Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
919: 0.15715,953: 0.15,680: 0.12145,541: 0.11785,635: 0.11785
919: 0.15715,953: 0.15,680: 0.12145,635: 0.11785,541: 0.11785
919: 0.15715,953: 0.15,680: 0.12145,635: 0.11785,541: 0.11785
919: 0.15715,953: 0.15,680: 0.12145,541: 0.11785,635: 0.11785
919: 0.15715,953: 0.15,680: 0.12145,635: 0.11785,541: 0.11785
919: 0.15715,953: 0.15,680: 0.12145,541: 0.11785,635: 0.11785
919: 0.15715,953: 0.15,680: 0.12145,635: 0.11785,541: 0.11785
919: 0.15715,953: 0.15,680: 0.12145,541: 0.11785,635: 0.11785
919: 0.15715,953: 0.15,680: 0.12145,635: 0.11785,541: 0.11785
919: 0.15715,953: 0.15,680: 0.12145,635: 0.11785,541: 0.11785
942: 0.16785,880: 0.16785,922: 0.16785,81: 0.1643,919: 0.15715
942: 0.16785,880: 0.16785,922: 0.16785,81: 0.1643,919: 0.15715
942: 0.16785,880: 0.16785,922: 0.16785,81: 0.1643,919: 0.15715
942: 0.16785,880: 0.16785,922: 0.16785,81: 0.1643,919: 0.15715
942: 0.16785,880: 0.16785,922: 0.16785,81: 0.1643,919: 0.15715
942: 0.16785,880: 0.16785,922: 0.16785,81: 0.1643,919: 0.15715
880: 0.16785,922: 0.16785,942: 0.16785,81: 0.1643,919: 0.15715
942: 0.16785,880: 0.16785,922: 0.16785,81: 0.1643,919: 0.15715
942: 0.16785,880: 0.16785,922: 0.16785,81: 0.1643,919: 0.15715
942: 0.16785,880: 0.16785,922: 0.16785,81: 0.1643,919: 0.15715
141: 0.17145,457: 0.15,522: 0.15,918: 0.15,389: 0.1393
141: 0.17145,457: 0.15,522: 0.15,918: 0.15,389: 0.1393
141: 0.17145,457: 0.15,522: 0.15,918: 0.15,389: 0.1393
141: 0.17145,918: 0.15,457: 0.15,522: 0.15,389: 0.1393
141: 0.17145,457: 0.15,522: 0.15,918: 0.15,389: 0.1393
141: 0.17145,918: 0.15,522: 0.15,457: 0.15,389: 0.1393
141: 0.17145,918: 0.15,457: 0.15,522: 0.15,389: 0.1393
141: 0.17145,918: 0.15,522: 0.15,457: 0.15,389: 0.1393
141: 0.17145,918: 0.15,457: 0.15,522: 0.15,389: 0.1393
141: 0.17145,918: 0.15,457: 0.15,522: 0.15,389: 0.1393
832: 0.15,122: 0.1393,699: 0.11785,801: 0.11785,74: 0.11785
832: 0.15,122: 0.1393,699: 0.11785,801: 0.11785,74: 0.11785
832: 0.15,122: 0.1393,699: 0.11785,801: 0.11785,74: 0.11785
832: 0.15,122: 0.1393,699: 0.11785,801: 0.11785,219: 0.11785
832: 0.15,122: 0.1393,699: 0.11785,801: 0.11785,618: 0.11785
832: 0.15,122: 0.1393,699: 0.11785,801: 0.11785,74: 0.11785
832: 0.15,122: 0.1393,801: 0.11785,699: 0.11785,618: 0.11785
832: 0.15,122: 0.1393,31: 0.11785,618: 0.11785,74: 0.11785
832: 0.15,122: 0.1393,801: 0.11785,699: 0.11785,219: 0.11785
832: 0.15,122: 0.1393,699: 0.11785,801: 0.11785,219: 0.11785
832: 0.15,122: 0.1393,219: 0.11785,74: 0.11785,31: 0.11785
465: 0.11785,265: 0.11785,562: 0.11785,246: 0.11785,286: 0.11785
465: 0.11785,265: 0.11785,562: 0.11785,246: 0.11785,286: 0.11785
465: 0.11785,265: 0.11785,562: 0.11785,246: 0.11785,286: 0.11785
465: 0.11785,265: 0.11785,562: 0.11785,246: 0.11785,286: 0.11785
465: 0.11785,265: 0.11785,562: 0.11785,246: 0.11785,286: 0.11785
465: 0.11785,265: 0.11785,562: 0.11785,286: 0.11785,246: 0.11785
265: 0.11785,286: 0.11785,246: 0.11785,465: 0.11785,562: 0.11785
265: 0.11785,286: 0.11785,246: 0.11785,465: 0.11785,562: 0.11785
562: 0.11785,246: 0.11785,286: 0.11785,465: 0.11785,265: 0.11785
909: 0.06785,None,None,None,None
909: 0.06785,None,None,None,None
909: 0.06785,None,None,None,None
909: 0.06785,None,None,None,None
909: 0.06785,None,None,None,None
909: 0.06785,None,None,None,None
909: 0.06785,None,None,None,None
909: 0.06785,None,None,None,None
909: 0.06785,None,None,None,None
909: 0.06785,None,None,None,None
426: 0.12145,711: 0.11785,448: 0.11785,189: 0.11785,64: 0.11785
426: 0.12145,711: 0.11785,448: 0.11785,189: 0.11785,64: 0.11785
426: 0.12145,711: 0.11785,448: 0.11785,189: 0.11785,64: 0.11785
426: 0.12145,711: 0.11785,448: 0.11785,189: 0.11785,64: 0.11785
426: 0.12145,562: 0.11785,870: 0.11785,149: 0.11785,702: 0.11785
426: 0.12145,702: 0.11785,149: 0.11785,64: 0.11785,562: 0.11785
426: 0.12145,149: 0.11785,64: 0.11785,562: 0.11785,870: 0.11785
426: 0.12145,64: 0.11785,448: 0.11785,711: 0.11785,702: 0.11785
426: 0.12145,64: 0.11785,448: 0.11785,711: 0.11785,702: 0.11785
426: 0.12145,64: 0.11785,448: 0.11785,711: 0.11785,702: 0.11785
411: 0.26785,839: 0.15,965: 0.15,871: 0.15,122: 0.1393
411: 0.26785,839: 0.15,965: 0.15,871: 0.15,122: 0.1393
411: 0.26785,839: 0.15,965: 0.15,871: 0.15,122: 0.1393
411: 0.26785,839: 0.15,965: 0.15,871: 0.15,122: 0.1393
411: 0.26785,965: 0.15,839: 0.15,871: 0.15,921: 0.1393
411: 0.26785,839: 0.15,965: 0.15,871: 0.15,122: 0.1393
411: 0.26785,839: 0.15,965: 0.15,871: 0.15,921: 0.1393
921: 0.1393,426: 0.12145,448: 0.11785,711: 0.11785,702: 0.11785
921: 0.1393,426: 0.12145,149: 0.11785,702: 0.11785,64: 0.11785
921: 0.1393,426: 0.12145,64: 0.11785,149: 0.11785,870: 0.11785
921: 0.1393,426: 0.12145,149: 0.11785,702: 0.11785,64: 0.11785
921: 0.1393,426: 0.12145,189: 0.11785,149: 0.11785,702: 0.11785
921: 0.1393,426: 0.12145,64: 0.11785,149: 0.11785,562: 0.11785
921: 0.1393,426: 0.12145,64: 0.11785,149: 0.11785,562: 0.11785
921: 0.1393,426: 0.12145,149: 0.11785,702: 0.11785,870: 0.11785
141: 0.17145,882: 0.14645,458: 0.14645,780: 0.1393,778: 0.1393
141: 0.17145,882: 0.14645,458: 0.14645,780: 0.1393,778: 0.1393
141: 0.17145,882: 0.14645,458: 0.14645,780: 0.1393,778: 0.1393
141: 0.17145,882: 0.14645,458: 0.14645,780: 0.1393,778: 0.1393
141: 0.17145,882: 0.14645,458: 0.14645,780: 0.1393,778: 0.1393
141: 0.17145,882: 0.14645,458: 0.14645,780: 0.1393,778: 0.1393
141: 0.17145,882: 0.14645,458: 0.14645,780: 0.1393,778: 0.1393
913: 0.1643,919: 0.15715,955: 0.14645,71: 0.14645,426: 0.12145
141: 0.17145,942: 0.16785,922: 0.16785,913: 0.1643,919: 0.15715
141: 0.17145,922: 0.16785,942: 0.16785,913: 0.1643,919: 0.15715
141: 0.17145,942: 0.16785,922: 0.16785,913: 0.1643,919: 0.15715
141: 0.17145,942: 0.16785,922: 0.16785,913: 0.1643,919: 0.15715
141: 0.17145,922: 0.16785,942: 0.16785,913: 0.1643,919: 0.15715
141: 0.17145,942: 0.16785,922: 0.16785,913: 0.1643,919: 0.15715
141: 0.17145,922: 0.16785,942: 0.16785,913: 0.1643,919: 0.15715
141: 0.17145,922: 0.16785,942: 0.16785,913: 0.1643,131: 0.15355
141: 0.17145,922: 0.16785,942: 0.16785,913: 0.1643,131: 0.15355
954: 0.16785,922: 0.16785,131: 0.15355,782: 0.14645,458: 0.14645
954: 0.16785,922: 0.16785,131: 0.15355,458: 0.14645,782: 0.14645
922: 0.16785,954: 0.16785,131: 0.15355,458: 0.14645,782: 0.14645
954: 0.16785,922: 0.16785,131: 0.15355,782: 0.14645,458: 0.14645
954: 0.16785,922: 0.16785,131: 0.15355,782: 0.14645,458: 0.14645
954: 0.16785,922: 0.16785,131: 0.15355,782: 0.14645,458: 0.14645
954: 0.16785,922: 0.16785,131: 0.15355,458: 0.14645,782: 0.14645
954: 0.16785,922: 0.16785,131: 0.15355,458: 0.14645,782: 0.14645
954: 0.16785,922: 0.16785,131: 0.15355,458: 0.14645,782: 0.14645
954: 0.16785,922: 0.16785,131: 0.15355,458: 0.14645,782: 0.14645
922: 0.16785,954: 0.16785,131: 0.15355,458: 0.14645,782: 0.14645
141: 0.17145,131: 0.15355,138: 0.15,953: 0.15,918: 0.15
141: 0.17145,131: 0.15355,138: 0.15,953: 0.15,918: 0.15
141: 0.17145,131: 0.15355,138: 0.15,953: 0.15,918: 0.15
141: 0.17145,131: 0.15355,138: 0.15,953: 0.15,918: 0.15
141: 0.17145,131: 0.15355,138: 0.15,953: 0.15,918: 0.15
141: 0.17145,131: 0.15355,138: 0.15,953: 0.15,918: 0.15
141: 0.17145,131: 0.15355,138: 0.15,953: 0.15,918: 0.15
141: 0.17145,131: 0.15355,953: 0.15,138: 0.15,918: 0.15
141: 0.17145,131: 0.15355,138: 0.15,953: 0.15,918: 0.15
141: 0.17145,131: 0.15355,953: 0.15,138: 0.15,918: 0.15
918: 0.15,782: 0.14645,389: 0.1393,778: 0.1393,123: 0.1357
918: 0.15,782: 0.14645,389: 0.1393,778: 0.1393,123: 0.1357
918: 0.15,782: 0.14645,389: 0.1393,778: 0.1393,123: 0.1357
918: 0.15,782: 0.14645,389: 0.1393,778: 0.1393,123: 0.1357
918: 0.15,782: 0.14645,389: 0.1393,778: 0.1393,123: 0.1357
918: 0.15,782: 0.14645,389: 0.1393,778: 0.1393,123: 0.1357
918: 0.15,782: 0.14645,389: 0.1393,297: 0.11785,286: 0.11785
918: 0.15,782: 0.14645,389: 0.1393,327: 0.11785,297: 0.11785
942: 0.16785,954: 0.16785,965: 0.15,945: 0.14645,127: 0.11785
942: 0.16785,954: 0.16785,965: 0.15,945: 0.14645,127: 0.11785
954: 0.16785,942: 0.16785,922: 0.16785,965: 0.15,945: 0.14645
942: 0.16785,954: 0.16785,922: 0.16785,965: 0.15,945: 0.14645
942: 0.16785,954: 0.16785,922: 0.16785,965: 0.15,945: 0.14645
942: 0.16785,954: 0.16785,922: 0.16785,965: 0.15,945: 0.14645
942: 0.16785,922: 0.16785,954: 0.16785,965: 0.15,782: 0.14645
922: 0.16785,954: 0.16785,942: 0.16785,965: 0.15,945: 0.14645
922: 0.16785,136: 0.14645,782: 0.14645,777: 0.14645,389: 0.1393
954: 0.16785,922: 0.16785,942: 0.16785,965: 0.15,777: 0.14645
922: 0.16785,942: 0.16785,954: 0.16785,965: 0.15,777: 0.14645
922: 0.16785,777: 0.14645,136: 0.14645,782: 0.14645,389: 0.1393
921: 0.1393,121: 0.1357,246: 0.11785,510: 0.11785,64: 0.11785
921: 0.1393,780: 0.1393,778: 0.1393,121: 0.1357,678: 0.12145
921: 0.1393,780: 0.1393,778: 0.1393,121: 0.1357,678: 0.12145
921: 0.1393,780: 0.1393,778: 0.1393,121: 0.1357,678: 0.12145
921: 0.1393,780: 0.1393,778: 0.1393,121: 0.1357,678: 0.12145
778: 0.1393,921: 0.1393,780: 0.1393,121: 0.1357,808: 0.12145
780: 0.1393,778: 0.1393,921: 0.1393,121: 0.1357,678: 0.12145
921: 0.1393,780: 0.1393,778: 0.1393,121: 0.1357,678: 0.12145
778: 0.1393,921: 0.1393,780: 0.1393,121: 0.1357,808: 0.12145
921: 0.1393,780: 0.1393,778: 0.1393,121: 0.1357,808: 0.12145
