Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
541: 0.125,983: 0.125,721: 0.125,568: 0.125,728: 0.125
541: 0.125,983: 0.125,721: 0.125,568: 0.125,728: 0.125
919: 0.125,429: 0.125,732: 0.125,996: 0.125,984: 0.125
429: 0.125,919: 0.125,984: 0.125,996: 0.125,732: 0.125
919: 0.125,429: 0.125,732: 0.125,996: 0.125,984: 0.125
541: 0.125,983: 0.125,721: 0.125,568: 0.125,728: 0.125
541: 0.125,983: 0.125,721: 0.125,568: 0.125,728: 0.125
919: 0.125,429: 0.125,984: 0.125,732: 0.125,996: 0.125
429: 0.125,919: 0.125,732: 0.125,984: 0.125,996: 0.125
429: 0.125,919: 0.125,984: 0.125,732: 0.125,996: 0.125
155: 0.175,782: 0.175,942: 0.175,785: 0.175,461: 0.175
155: 0.175,782: 0.175,942: 0.175,785: 0.175,461: 0.175
155: 0.175,782: 0.175,942: 0.175,785: 0.175,461: 0.175
782: 0.175,942: 0.175,832: 0.175,461: 0.175,785: 0.175
155: 0.175,782: 0.175,942: 0.175,785: 0.175,461: 0.175
942: 0.175,782: 0.175,461: 0.175,832: 0.175,785: 0.175
782: 0.175,942: 0.175,832: 0.175,461: 0.175,785: 0.175
461: 0.175,832: 0.175,839: 0.175,76: 0.175,922: 0.175
155: 0.175,782: 0.175,942: 0.175,785: 0.175,832: 0.175
155: 0.175,942: 0.175,782: 0.175,785: 0.175,461: 0.175
522: 0.175,918: 0.175,141: 0.175,395: 0.175,417: 0.175
918: 0.175,141: 0.175,522: 0.175,395: 0.175,417: 0.175
522: 0.175,918: 0.175,141: 0.175,395: 0.175,417: 0.175
522: 0.175,918: 0.175,141: 0.175,395: 0.175,417: 0.175
522: 0.175,918: 0.175,141: 0.175,395: 0.175,417: 0.175
918: 0.175,141: 0.175,522: 0.175,417: 0.175,395: 0.175
918: 0.175,141: 0.175,522: 0.175,417: 0.175,395: 0.175
141: 0.175,918: 0.175,522: 0.175,417: 0.175,395: 0.175
141: 0.175,918: 0.175,522: 0.175,417: 0.175,395: 0.175
918: 0.175,141: 0.175,522: 0.175,417: 0.175,395: 0.175
832: 0.175,122: 0.175,294: 0.125,938: 0.125,342: 0.125
832: 0.175,122: 0.175,294: 0.125,938: 0.125,342: 0.125
832: 0.175,122: 0.175,294: 0.125,938: 0.125,342: 0.125
122: 0.175,832: 0.175,38: 0.125,755: 0.125,69: 0.125
832: 0.175,122: 0.175,294: 0.125,938: 0.125,342: 0.125
832: 0.175,122: 0.175,294: 0.125,318: 0.125,342: 0.125
122: 0.175,832: 0.175,38: 0.125,755: 0.125,604: 0.125
122: 0.175,832: 0.175,69: 0.125,604: 0.125,15: 0.125
832: 0.175,122: 0.175,938: 0.125,342: 0.125,318: 0.125
832: 0.175,122: 0.175,583: 0.125,43: 0.125,294: 0.125
832: 0.175,122: 0.175,294: 0.125,342: 0.125,938: 0.125
296: 0.125,365: 0.125,230: 0.125,429: 0.125,755: 0.125
296: 0.125,230: 0.125,365: 0.125,755: 0.125,429: 0.125
230: 0.125,296: 0.125,365: 0.125,755: 0.125,429: 0.125
230: 0.125,296: 0.125,365: 0.125,755: 0.125,429: 0.125
230: 0.125,296: 0.125,365: 0.125,755: 0.125,429: 0.125
230: 0.125,296: 0.125,365: 0.125,755: 0.125,429: 0.125
194: 0.125,342: 0.125,562: 0.125,246: 0.125,396: 0.125
307: 0.125,107: 0.125,296: 0.125,230: 0.125,365: 0.125
307: 0.125,107: 0.125,296: 0.125,230: 0.125,365: 0.125
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
909: 0.075,None,None,None,None
149: 0.175,102: 0.15,283: 0.125,316: 0.125,165: 0.125
149: 0.175,102: 0.15,283: 0.125,316: 0.125,165: 0.125
149: 0.175,102: 0.15,283: 0.125,316: 0.125,165: 0.125
149: 0.175,102: 0.15,283: 0.125,316: 0.125,165: 0.125
149: 0.175,102: 0.15,184: 0.125,385: 0.125,654: 0.125
149: 0.175,102: 0.15,633: 0.125,835: 0.125,92: 0.125
149: 0.175,102: 0.15,394: 0.125,627: 0.125,655: 0.125
149: 0.175,102: 0.15,283: 0.125,316: 0.125,761: 0.125
149: 0.175,102: 0.15,283: 0.125,316: 0.125,761: 0.125
149: 0.175,102: 0.15,316: 0.125,283: 0.125,64: 0.125
839: 0.175,149: 0.175,122: 0.175,871: 0.175,780: 0.175
839: 0.175,149: 0.175,122: 0.175,871: 0.175,780: 0.175
839: 0.175,149: 0.175,122: 0.175,871: 0.175,780: 0.175
839: 0.175,149: 0.175,122: 0.175,780: 0.175,871: 0.175
839: 0.175,149: 0.175,122: 0.175,871: 0.175,780: 0.175
839: 0.175,149: 0.175,122: 0.175,780: 0.175,871: 0.175
839: 0.175,149: 0.175,122: 0.175,780: 0.175,871: 0.175
149: 0.175,102: 0.15,773: 0.125,253: 0.125,583: 0.125
149: 0.175,102: 0.15,451: 0.125,398: 0.125,365: 0.125
149: 0.175,102: 0.15,696: 0.125,761: 0.125,842: 0.125
149: 0.175,102: 0.15,675: 0.125,547: 0.125,819: 0.125
149: 0.175,102: 0.15,342: 0.125,911: 0.125,569: 0.125
149: 0.175,102: 0.15,184: 0.125,342: 0.125,569: 0.125
149: 0.175,102: 0.15,64: 0.125,626: 0.125,761: 0.125
149: 0.175,102: 0.15,64: 0.125,626: 0.125,761: 0.125
76: 0.175,882: 0.175,458: 0.175,141: 0.175,780: 0.175
76: 0.175,882: 0.175,458: 0.175,141: 0.175,780: 0.175
76: 0.175,882: 0.175,458: 0.175,141: 0.175,780: 0.175
76: 0.175,882: 0.175,458: 0.175,141: 0.175,780: 0.175
780: 0.175,979: 0.175,141: 0.175,882: 0.175,458: 0.175
780: 0.175,979: 0.175,882: 0.175,458: 0.175,76: 0.175
780: 0.175,979: 0.175,882: 0.175,458: 0.175,76: 0.175
958: 0.325,71: 0.25,336: 0.23750001,913: 0.225,21: 0.225
958: 0.325,71: 0.25,336: 0.23750001,913: 0.225,21: 0.225
958: 0.325,913: 0.275,71: 0.25,336: 0.23750001,21: 0.225
71: 0.25,336: 0.23750001,913: 0.225,21: 0.225,968: 0.225
958: 0.325,913: 0.275,71: 0.25,336: 0.23750001,86: 0.225
913: 0.225,958: 0.225,71: 0.2,336: 0.1875,789: 0.175
958: 0.325,913: 0.275,71: 0.25,336: 0.23750001,86: 0.225
922: 0.175,913: 0.175,76: 0.175,979: 0.175,141: 0.175
922: 0.175,913: 0.175,76: 0.175,979: 0.175,141: 0.175
913: 0.225,958: 0.225,71: 0.2,336: 0.1875,922: 0.175
395: 0.175,417: 0.175,872: 0.175,922: 0.175,172: 0.175
512: 0.175,782: 0.175,395: 0.175,922: 0.175,866: 0.175
512: 0.175,782: 0.175,395: 0.175,922: 0.175,866: 0.175
512: 0.175,782: 0.175,395: 0.175,922: 0.175,866: 0.175
512: 0.175,782: 0.175,395: 0.175,922: 0.175,866: 0.175
922: 0.175,395: 0.175,172: 0.175,149: 0.175,872: 0.175
395: 0.175,872: 0.175,417: 0.175,922: 0.175,172: 0.175
172: 0.175,149: 0.175,922: 0.175,458: 0.175,866: 0.175
395: 0.175,872: 0.175,417: 0.175,922: 0.175,149: 0.175
395: 0.175,417: 0.175,872: 0.175,922: 0.175,172: 0.175
395: 0.175,922: 0.175,172: 0.175,149: 0.175,458: 0.175
136: 0.175,138: 0.175,458: 0.175,172: 0.175,149: 0.175
136: 0.175,138: 0.175,458: 0.175,172: 0.175,149: 0.175
136: 0.175,138: 0.175,458: 0.175,172: 0.175,149: 0.175
172: 0.175,149: 0.175,138: 0.175,458: 0.175,141: 0.175
172: 0.175,149: 0.175,138: 0.175,458: 0.175,918: 0.175
149: 0.175,172: 0.175,458: 0.175,138: 0.175,918: 0.175
138: 0.175,149: 0.175,172: 0.175,458: 0.175,136: 0.175
136: 0.175,138: 0.175,458: 0.175,172: 0.175,149: 0.175
138: 0.175,458: 0.175,136: 0.175,172: 0.175,149: 0.175
458: 0.175,138: 0.175,136: 0.175,149: 0.175,172: 0.175
782: 0.175,918: 0.175,132: 0.15,147: 0.15,389: 0.15
782: 0.175,918: 0.175,132: 0.15,147: 0.15,389: 0.15
782: 0.175,918: 0.175,147: 0.15,389: 0.15,132: 0.15
782: 0.175,918: 0.175,147: 0.15,389: 0.15,132: 0.15
918: 0.175,782: 0.175,147: 0.15,389: 0.15,132: 0.15
782: 0.175,918: 0.175,132: 0.15,147: 0.15,389: 0.15
782: 0.175,918: 0.175,389: 0.15,357: 0.125,398: 0.125
782: 0.175,918: 0.175,389: 0.15,755: 0.125,327: 0.125
70: 0.3,127: 0.2,942: 0.2,118: 0.17500001,6: 0.17500001
70: 0.3,127: 0.2,942: 0.2,6: 0.2,118: 0.17500001
70: 0.3,947: 0.22500001,118: 0.22500001,127: 0.2,942: 0.2
70: 0.35000002,942: 0.25,127: 0.25,118: 0.25,6: 0.25
70: 0.32500002,942: 0.25,947: 0.22500001,6: 0.22500001,118: 0.22500001
70: 0.3,127: 0.25,947: 0.22500001,6: 0.22500001,118: 0.22500001
70: 0.375,942: 0.275,947: 0.275,127: 0.275,118: 0.25
24: 0.175,136: 0.175,155: 0.175,922: 0.175,782: 0.175
70: 0.32500002,127: 0.225,942: 0.225,6: 0.2,118: 0.2
70: 0.35000002,127: 0.25,942: 0.25,947: 0.22500001,118: 0.22500001
70: 0.3,127: 0.2,942: 0.2,118: 0.17500001,6: 0.17500001
136: 0.175,155: 0.175,922: 0.175,782: 0.175,24: 0.175
121: 0.175,6: 0.15,246: 0.125,92: 0.125,510: 0.125
121: 0.175,780: 0.175,6: 0.15,629: 0.125,581: 0.125
