Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
122: 0.15835,919: 0.14165,721: 0.11665,332: 0.05835,None
122: 0.15835,919: 0.14165,721: 0.11665,332: 0.05835,None
122: 0.15835,919: 0.14165,721: 0.11665,None,None
122: 0.15835,919: 0.14165,721: 0.11665,None,None
122: 0.15835,919: 0.14165,721: 0.11665,None,None
122: 0.15835,919: 0.14165,721: 0.11665,None,None
122: 0.15835,919: 0.14165,721: 0.11665,332: 0.05835,None
721: 0.11665,None,None,None,None
122: 0.15835,919: 0.14165,721: 0.11665,31: 0.1125,332: 0.05835
122: 0.15835,919: 0.14165,721: 0.11665,31: 0.1125,434: 0.10835
122: 0.15835,919: 0.14165,31: 0.1125,434: 0.10835,568: 0.10835
31: 0.1125,434: 0.10835,568: 0.10835,332: 0.05835,None
31: 0.1125,434: 0.10835,568: 0.10835,332: 0.05835,None
31: 0.1125,568: 0.10835,434: 0.10835,332: 0.05835,None
31: 0.1125,568: 0.10835,434: 0.10835,332: 0.05835,None
31: 0.1125,568: 0.10835,434: 0.10835,None,None
31: 0.1125,434: 0.10835,568: 0.10835,None,None
31: 0.1125,568: 0.10835,434: 0.10835,None,None
568: 0.10835,434: 0.10835,None,None,None
568: 0.10835,None,None,None,None
135: 0.10835,None,None,None,None
135: 0.10835,None,None,None,None
135: 0.10835,None,None,None,None
135: 0.10835,None,None,None,None
135: 0.10835,905: 0.08335,None,None,None
135: 0.10835,905: 0.08335,None,None,None
135: 0.10835,905: 0.08335,None,None,None
135: 0.10835,938: 0.10835,905: 0.08335,None,None
135: 0.10835,938: 0.10835,905: 0.08335,None,None
135: 0.10835,938: 0.10835,905: 0.08335,None,None
938: 0.10835,905: 0.08335,None,None,None
938: 0.10835,905: 0.08335,None,None,None
938: 0.10835,905: 0.08335,None,None,None
938: 0.10835,905: 0.08335,None,None,None
938: 0.10835,None,None,None,None
938: 0.10835,None,None,None,None
938: 0.10835,None,None,None,None
None,None,None,None,None
404: 0.08335,None,None,None,None
404: 0.08335,None,None,None,None
404: 0.08335,None,None,None,None
404: 0.08335,None,None,None,None
404: 0.08335,93: 0.07915,None,None,None
732: 0.10415,404: 0.08335,93: 0.07915,None,None
417: 0.125,732: 0.10415,404: 0.08335,93: 0.07915,None
417: 0.125,732: 0.10415,576: 0.1,404: 0.08335,93: 0.07915
417: 0.125,732: 0.10415,576: 0.1,404: 0.08335,93: 0.07915
417: 0.125,732: 0.10415,576: 0.1,714: 0.0875,404: 0.08335
417: 0.125,732: 0.10415,576: 0.1,714: 0.0875,93: 0.07915
417: 0.125,789: 0.10835,732: 0.10415,576: 0.1,714: 0.0875
417: 0.125,789: 0.10835,732: 0.10415,576: 0.1,714: 0.0875
417: 0.125,789: 0.10835,732: 0.10415,576: 0.1,714: 0.0875
