Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
4931: 0.12145,None,None,None,None
4931: 0.12145,None,None,None,None
4931: 0.12145,None,None,None,None
4931: 0.12145,None,None,None,None
4931: 0.12145,None,None,None,None
4931: 0.12145,None,None,None,None
4931: 0.12145,None,None,None,None
4931: 0.12145,None,None,None,None
4931: 0.12145,None,None,None,None
4931: 0.12145,None,None,None,None
538: 0.1743,4931: 0.12145,9106: 0.1157,None,None
618: 0.31855,538: 0.1743,4931: 0.12145,9106: 0.1157,None
618: 0.31855,538: 0.1743,4931: 0.12145,9106: 0.1157,None
618: 0.31855,538: 0.1743,4940: 0.12715,4931: 0.12145,8270: 0.11855
618: 0.31855,538: 0.1743,4940: 0.12715,4931: 0.12145,8270: 0.11855
618: 0.31855,538: 0.1743,4940: 0.12715,4931: 0.12145,8270: 0.11855
618: 0.31855,538: 0.1743,345: 0.16,396: 0.16,4940: 0.12715
618: 0.31855,538: 0.1743,345: 0.16,396: 0.16,4940: 0.12715
618: 0.31855,538: 0.1743,345: 0.16,396: 0.16,4940: 0.12715
618: 0.31855,538: 0.1743,345: 0.16,396: 0.16,4940: 0.12715
618: 0.31855,345: 0.16,396: 0.16,4940: 0.12715,8260: 0.1243
396: 0.16,345: 0.16,4940: 0.12715,8260: 0.1243,4931: 0.12145
396: 0.16,345: 0.16,4940: 0.12715,8260: 0.1243,4931: 0.12145
396: 0.16,345: 0.16,8260: 0.1243,1531: 0.11855,6021: 0.11855
396: 0.16,345: 0.16,8260: 0.1243,6021: 0.11855,1531: 0.11855
396: 0.16,345: 0.16,8260: 0.1243,6021: 0.11855,1531: 0.11855
8260: 0.1243,6021: 0.11855,9073: 0.1157,8020: 0.11,9102: 0.10715
6021: 0.11855,8020: 0.11,9102: 0.10715,None,None
6021: 0.11855,8020: 0.11,9102: 0.10715,None,None
6021: 0.11855,9102: 0.10715,None,None,None
6021: 0.11855,None,None,None,None
342: 0.16,5005: 0.1243,8270: 0.11855,8609: 0.1157,226: 0.0843
342: 0.16,5005: 0.1243,4931: 0.12145,8270: 0.11855,8609: 0.1157
342: 0.16,5005: 0.1243,4931: 0.12145,4920: 0.12145,8270: 0.11855
342: 0.16,396: 0.16,4940: 0.12715,5005: 0.1243,1693: 0.1243
342: 0.16,396: 0.16,4940: 0.12715,5005: 0.1243,1693: 0.1243
342: 0.16,396: 0.16,4940: 0.12715,752: 0.12715,5005: 0.1243
396: 0.16,342: 0.16,4940: 0.12715,752: 0.12715,1693: 0.1243
396: 0.16,342: 0.16,4940: 0.12715,752: 0.12715,2853: 0.1243
396: 0.16,342: 0.16,4940: 0.12715,752: 0.12715,2853: 0.1243
396: 0.16,342: 0.16,4940: 0.12715,752: 0.12715,2853: 0.1243
7926: 0.1657,396: 0.16,4552: 0.14855,4940: 0.12715,752: 0.12715
7926: 0.1657,396: 0.16,4552: 0.14855,4940: 0.12715,752: 0.12715
7926: 0.1657,396: 0.16,4552: 0.14855,4940: 0.12715,752: 0.12715
7926: 0.1657,4552: 0.14855,752: 0.12715,6992: 0.1243,2853: 0.1243
7926: 0.1657,4552: 0.14855,752: 0.12715,5005: 0.1243,8260: 0.1243
7926: 0.1657,4552: 0.14855,5005: 0.1243,8260: 0.1243,6992: 0.1243
7926: 0.1657,4552: 0.14855,5005: 0.1243,8260: 0.1243,6992: 0.1243
7926: 0.1657,4552: 0.14855,5005: 0.1243,4030: 0.1243,6992: 0.1243
7926: 0.1657,4552: 0.14855,5005: 0.1243,4030: 0.1243,6992: 0.1243
7926: 0.1657,4552: 0.14855,5005: 0.1243,4030: 0.1243,6992: 0.1243
4030: 0.1243,4920: 0.12145,8270: 0.11855,5072: 0.11855,4912: 0.11855
8164: 0.11855,9494: 0.11,4893: 0.1043,None,None
562: 0.18,4552: 0.14855,5005: 0.1243,2046: 0.12145,8164: 0.11855
562: 0.18,9146: 0.15715,4552: 0.14855,5005: 0.1243,2046: 0.12145
562: 0.18,9669: 0.17145,503: 0.16855,9146: 0.15715,8425: 0.15715
562: 0.18,9669: 0.17145,503: 0.16855,9146: 0.15715,8425: 0.15715
562: 0.18,9669: 0.17145,503: 0.16855,4604: 0.16285,9146: 0.15715
562: 0.18,9669: 0.17145,503: 0.16855,9246: 0.1657,4604: 0.16285
