Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
4931: 0.13,None,None,None,None
4931: 0.13,None,None,None,None
4931: 0.13,None,None,None,None
4931: 0.13,None,None,None,None
4931: 0.13,None,None,None,None
4931: 0.13,None,None,None,None
4931: 0.13,None,None,None,None
4931: 0.13,None,None,None,None
4931: 0.13,None,None,None,None
4931: 0.13,None,None,None,None
4931: 0.13,538: 0.11665,9106: 0.11665,None,None
4931: 0.13,618: 0.13,538: 0.11665,9106: 0.11665,None
4931: 0.13,618: 0.13,538: 0.11665,9106: 0.11665,None
4931: 0.13,618: 0.13,4940: 0.13,8270: 0.13,538: 0.11665
4931: 0.13,618: 0.13,4940: 0.13,8270: 0.13,538: 0.11665
4931: 0.13,618: 0.13,4940: 0.13,8270: 0.13,233: 0.12335
4931: 0.13,618: 0.13,4940: 0.13,8270: 0.13,1531: 0.13
4931: 0.13,618: 0.13,4940: 0.13,8270: 0.13,1531: 0.13
4931: 0.13,618: 0.13,8270: 0.13,4940: 0.13,1531: 0.13
4931: 0.13,1531: 0.13,618: 0.13,4940: 0.13,8270: 0.13
4931: 0.13,1531: 0.13,618: 0.13,4940: 0.13,8270: 0.13
4940: 0.13,8270: 0.13,1531: 0.13,4931: 0.13,6021: 0.13
8270: 0.13,4940: 0.13,1531: 0.13,4931: 0.13,6021: 0.13
1531: 0.13,6021: 0.13,8020: 0.12335,9102: 0.12335,8069: 0.12335
6021: 0.13,1531: 0.13,9102: 0.12335,8020: 0.12335,8069: 0.12335
6021: 0.13,1531: 0.13,9102: 0.12335,8020: 0.12335,8069: 0.12335
6021: 0.13,9102: 0.12335,8020: 0.12335,8260: 0.11665,9073: 0.11665
6021: 0.13,8020: 0.12335,9102: 0.12335,None,None
6021: 0.13,8020: 0.12335,9102: 0.12335,None,None
6021: 0.13,9102: 0.12335,None,None,None
6021: 0.13,None,None,None,None
8609: 0.16665,8270: 0.13,5005: 0.13,342: 0.11665,226: 0.09
8609: 0.16665,8270: 0.13,5005: 0.13,4931: 0.13,342: 0.11665
8609: 0.16665,8270: 0.13,5005: 0.13,4931: 0.13,342: 0.11665
8609: 0.16665,8270: 0.13,5005: 0.13,4931: 0.13,1693: 0.13
8609: 0.16665,8270: 0.13,5005: 0.13,4931: 0.13,1693: 0.13
8609: 0.16665,8270: 0.13,5005: 0.13,4931: 0.13,1693: 0.13
8609: 0.16665,121: 0.14665,1693: 0.13,8270: 0.13,4940: 0.13
8609: 0.16665,121: 0.14665,8270: 0.13,4940: 0.13,5005: 0.13
8609: 0.16665,121: 0.14665,4940: 0.13,8270: 0.13,5005: 0.13
8609: 0.16665,121: 0.14665,8183: 0.13,8270: 0.13,5005: 0.13
5109: 0.16,121: 0.14665,4552: 0.14665,8183: 0.13,5005: 0.13
122: 0.18,5109: 0.16,121: 0.14665,4552: 0.14665,4940: 0.13
122: 0.18,5109: 0.16,121: 0.14665,4552: 0.14665,8183: 0.13
122: 0.18,5109: 0.16,121: 0.14665,4552: 0.14665,8183: 0.13
122: 0.18,5109: 0.16,121: 0.14665,4552: 0.14665,7926: 0.13
122: 0.18,5109: 0.16,121: 0.14665,4552: 0.14665,7926: 0.13
122: 0.18,5109: 0.16,121: 0.14665,4552: 0.14665,7926: 0.13
122: 0.18,5109: 0.16,121: 0.14665,4552: 0.14665,4912: 0.13
122: 0.18,5109: 0.16,121: 0.14665,4552: 0.14665,8270: 0.13
122: 0.18,5109: 0.16,121: 0.14665,4552: 0.14665,7926: 0.13
122: 0.18,121: 0.14665,8270: 0.13,5072: 0.13,4912: 0.13
9494: 0.15335,8164: 0.11,4893: 0.09665,None,None
9375: 0.18,880: 0.16,9494: 0.15335,4552: 0.14665,2046: 0.13
9375: 0.18,95: 0.18,9338: 0.18,9146: 0.17335,880: 0.16
9375: 0.18,95: 0.18,9338: 0.18,9146: 0.17335,8425: 0.17335
9375: 0.18,95: 0.18,9338: 0.18,9146: 0.17335,8425: 0.17335
95: 0.18,9375: 0.18,9338: 0.18,8541: 0.18,9146: 0.17335
95: 0.18,9375: 0.18,9338: 0.18,8541: 0.18,9146: 0.17335
95: 0.18,9375: 0.18,9338: 0.18,8541: 0.18,9146: 0.17335
95: 0.18,8541: 0.18,9375: 0.18,9338: 0.18,5387: 0.18
95: 0.18,8541: 0.18,9375: 0.18,9338: 0.18,5387: 0.18
95: 0.18,8541: 0.18,9375: 0.18,9338: 0.18,5387: 0.18
95: 0.18,8541: 0.18,5387: 0.18,9338: 0.18,8589: 0.18
8541: 0.18,5387: 0.18,8589: 0.18,8425: 0.17335,9669: 0.16665
8541: 0.18,5387: 0.18,8589: 0.18,9246: 0.16665,8609: 0.16665
8541: 0.18,5387: 0.18,8589: 0.18,9246: 0.16665,8609: 0.16665
8589: 0.18,5387: 0.18,8609: 0.16665,9246: 0.16665,4816: 0.16
8589: 0.18,5387: 0.18,8609: 0.16665,4816: 0.16,9667: 0.15335
8589: 0.18,5387: 0.18,8609: 0.16665,4816: 0.16,7702: 0.14665
8589: 0.18,5387: 0.18,7702: 0.14665,5002: 0.13,4931: 0.13
5387: 0.18,4931: 0.13,4919: 0.13,1577: 0.13,7377: 0.13
5387: 0.18,4931: 0.13,8799: 0.13,7377: 0.13,1145: 0.13
5387: 0.18,4701: 0.16665,4818: 0.15335,4910: 0.13,8234: 0.13
5387: 0.18,4701: 0.16665,9323: 0.16665,4818: 0.15335,4716: 0.15335
5387: 0.18,119: 0.18,4701: 0.16665,9323: 0.16665,4858: 0.16665
5387: 0.18,119: 0.18,4701: 0.16665,9323: 0.16665,4858: 0.16665
5387: 0.18,119: 0.18,109: 0.18,4701: 0.16665,9323: 0.16665
4807: 0.18665,119: 0.18,5387: 0.18,109: 0.18,272: 0.18
4807: 0.18665,119: 0.18,5387: 0.18,109: 0.18,272: 0.18
4807: 0.18665,119: 0.18,109: 0.18,5387: 0.18,272: 0.18
4807: 0.18665,119: 0.18,272: 0.18,5387: 0.18,109: 0.18
4807: 0.18665,272: 0.18,9512: 0.18,119: 0.18,5387: 0.18
4807: 0.18665,272: 0.18,9512: 0.18,119: 0.18,5387: 0.18
4807: 0.18665,9338: 0.18,119: 0.18,9512: 0.18,272: 0.18
4807: 0.18665,9338: 0.18,9512: 0.18,272: 0.18,5387: 0.18
4807: 0.18665,9338: 0.18,272: 0.18,9512: 0.18,5387: 0.18
4807: 0.18665,9338: 0.18,9512: 0.18,272: 0.18,5387: 0.18
9512: 0.18,8608: 0.18,5387: 0.18,9338: 0.18,9146: 0.17335
8608: 0.18,5387: 0.18,9338: 0.18,9146: 0.17335,4742: 0.16665
8608: 0.18,5387: 0.18,9338: 0.18,9146: 0.17335,9621: 0.16665
8608: 0.18,5387: 0.18,9146: 0.17335,9767: 0.16665,9621: 0.16665
8608: 0.18,5387: 0.18,4742: 0.16665,9767: 0.16665,5109: 0.16
8608: 0.18,4742: 0.16665,9767: 0.16665,5109: 0.16,826: 0.13
