Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
919: 0.175,122: 0.175,918: 0.175,721: 0.125,70: 0.125
919: 0.175,122: 0.175,918: 0.175,721: 0.125,70: 0.125
919: 0.175,122: 0.175,918: 0.175,721: 0.125,None
919: 0.175,122: 0.175,918: 0.175,721: 0.125,70: 0.125
919: 0.175,122: 0.175,918: 0.175,721: 0.125,70: 0.125
919: 0.175,122: 0.175,918: 0.175,721: 0.125,70: 0.125
919: 0.175,122: 0.175,918: 0.175,721: 0.125,None
721: 0.125,None,None,None,None
919: 0.175,122: 0.175,918: 0.175,721: 0.125,70: 0.125
919: 0.175,122: 0.175,918: 0.175,721: 0.125,70: 0.125
122: 0.175,919: 0.175,918: 0.175,70: 0.125,129: 0.125
70: 0.125,434: 0.125,129: 0.125,568: 0.125,332: 0.075
70: 0.125,434: 0.125,129: 0.125,568: 0.125,332: 0.075
568: 0.125,129: 0.125,434: 0.125,332: 0.075,None
568: 0.125,434: 0.125,332: 0.075,None,None
568: 0.125,434: 0.125,None,None,None
434: 0.125,568: 0.125,None,None,None
568: 0.125,434: 0.125,None,None,None
568: 0.125,434: 0.125,None,None,None
568: 0.125,None,None,None,None
507: 0.125,None,None,None,None
507: 0.125,None,None,None,None
507: 0.125,None,None,None,None
507: 0.125,None,None,None,None
507: 0.125,905: 0.125,None,None,None
507: 0.125,905: 0.125,None,None,None
507: 0.125,905: 0.125,None,None,None
905: 0.125,507: 0.125,None,None,None
500: 0.175,905: 0.125,507: 0.125,None,None
500: 0.175,905: 0.125,507: 0.125,None,None
500: 0.175,905: 0.125,None,None,None
500: 0.175,905: 0.125,None,None,None
500: 0.175,905: 0.125,None,None,None
500: 0.175,905: 0.125,None,None,None
500: 0.175,None,None,None,None
500: 0.175,None,None,None,None
500: 0.175,None,None,None,None
500: 0.175,None,None,None,None
404: 0.175,None,None,None,None
404: 0.175,None,None,None,None
404: 0.175,833: 0.125,None,None,None
404: 0.175,833: 0.125,129: 0.125,None,None
404: 0.175,833: 0.125,129: 0.125,507: 0.125,93: 0.1
404: 0.175,833: 0.125,129: 0.125,507: 0.125,93: 0.1
404: 0.175,833: 0.125,129: 0.125,507: 0.125,417: 0.125
404: 0.175,833: 0.125,507: 0.125,129: 0.125,417: 0.125
404: 0.175,833: 0.125,507: 0.125,129: 0.125,417: 0.125
404: 0.175,833: 0.125,507: 0.125,417: 0.125,129: 0.125
576: 0.125,833: 0.125,507: 0.125,417: 0.125,129: 0.125
576: 0.125,833: 0.125,507: 0.125,417: 0.125,129: 0.125
507: 0.125,417: 0.125,576: 0.125,129: 0.125,100: 0.125
100: 0.125,507: 0.125,417: 0.125,576: 0.125,789: 0.125
100: 0.125,417: 0.125,789: 0.125,576: 0.125,714: 0.1
576: 0.125,100: 0.125,789: 0.125,417: 0.125,714: 0.1
576: 0.125,100: 0.125,789: 0.125,714: 0.1,40: 0.1
576: 0.125,100: 0.125,789: 0.125,714: 0.1,868: 0.075
100: 0.125,789: 0.125,714: 0.1,None,None
100: 0.125,789: 0.125,None,None,None
789: 0.125,None,None,None,None
789: 0.125,156: 0.1,265: 0.1,None,None
789: 0.125,156: 0.1,265: 0.1,None,None
929: 0.15,789: 0.125,415: 0.125,156: 0.1,265: 0.1
929: 0.15,789: 0.125,415: 0.125,8: 0.125,156: 0.1
929: 0.15,789: 0.125,415: 0.125,8: 0.125,676: 0.125
929: 0.15,915: 0.15,415: 0.125,789: 0.125,8: 0.125
929: 0.15,915: 0.15,415: 0.125,8: 0.125,789: 0.125
929: 0.15,915: 0.15,676: 0.125,102: 0.125,100: 0.125
929: 0.15,915: 0.15,676: 0.125,102: 0.125,910: 0.125
915: 0.15,929: 0.15,676: 0.125,910: 0.125,102: 0.125
929: 0.15,915: 0.15,614: 0.125,676: 0.125,102: 0.125
929: 0.15,915: 0.15,784: 0.15,878: 0.125,614: 0.125
915: 0.15,784: 0.15,614: 0.125,878: 0.125,676: 0.125
915: 0.15,784: 0.15,614: 0.125,878: 0.125,676: 0.125
784: 0.15,915: 0.15,614: 0.125,878: 0.125,910: 0.125
784: 0.15,614: 0.125,878: 0.125,808: 0.125,507: 0.125
784: 0.15,878: 0.125,507: 0.125,614: 0.125,808: 0.125
784: 0.15,878: 0.125,507: 0.125,41: 0.1,740: 0.1
784: 0.15,878: 0.125,507: 0.125,41: 0.1,740: 0.1
784: 0.15,878: 0.125,507: 0.125,41: 0.1,740: 0.1
784: 0.15,878: 0.125,507: 0.125,41: 0.1,None
833: 0.125,43: 0.1,None,None,None
833: 0.125,43: 0.1,712: 0.1,488: 0.1,842: 0.1
782: 0.15,833: 0.125,43: 0.1,712: 0.1,488: 0.1
782: 0.15,833: 0.125,162: 0.125,507: 0.125,43: 0.1
782: 0.15,833: 0.125,162: 0.125,507: 0.125,993: 0.125
782: 0.15,833: 0.125,162: 0.125,507: 0.125,993: 0.125
782: 0.15,162: 0.125,507: 0.125,833: 0.125,993: 0.125
782: 0.15,993: 0.125,576: 0.125,833: 0.125,162: 0.125
782: 0.15,658: 0.125,993: 0.125,576: 0.125,833: 0.125
782: 0.15,576: 0.125,833: 0.125,960: 0.125,808: 0.125
782: 0.15,658: 0.125,941: 0.125,993: 0.125,576: 0.125
782: 0.15,941: 0.125,683: 0.125,993: 0.125,576: 0.125
782: 0.15,323: 0.125,789: 0.125,658: 0.125,507: 0.125
782: 0.15,808: 0.125,993: 0.125,941: 0.125,683: 0.125
782: 0.15,501: 0.125,941: 0.125,683: 0.125,658: 0.125
782: 0.15,501: 0.125,683: 0.125,941: 0.125,576: 0.125
782: 0.15,501: 0.125,683: 0.125,576: 0.125,721: 0.125
782: 0.15,501: 0.125,683: 0.125,576: 0.125,721: 0.125
501: 0.125,721: 0.125,556: 0.125,868: 0.075,20: 0.075
501: 0.125,721: 0.125,556: 0.125,20: 0.075,868: 0.075
501: 0.125,556: 0.125,868: 0.075,None,None
699: 0.125,296: 0.125,962: 0.125,43: 0.1,16: 0.075
699: 0.125,296: 0.125,962: 0.125,993: 0.125,43: 0.1
699: 0.125,296: 0.125,962: 0.125,993: 0.125,396: 0.125
462: 0.15,699: 0.125,296: 0.125,962: 0.125,993: 0.125
462: 0.15,942: 0.15,699: 0.125,962: 0.125,296: 0.125
462: 0.15,942: 0.15,396: 0.125,699: 0.125,296: 0.125
462: 0.15,942: 0.15,396: 0.125,699: 0.125,296: 0.125
462: 0.15,942: 0.15,396: 0.125,517: 0.125,670: 0.125
462: 0.15,942: 0.15,396: 0.125,699: 0.125,576: 0.125
462: 0.15,942: 0.15,396: 0.125,699: 0.125,676: 0.125
462: 0.15,942: 0.15,294: 0.125,24: 0.125,396: 0.125
921: 0.175,876: 0.175,942: 0.15,462: 0.15,396: 0.125
921: 0.175,876: 0.175,942: 0.15,462: 0.15,396: 0.125
921: 0.175,876: 0.175,942: 0.15,396: 0.125,614: 0.125
921: 0.175,876: 0.175,942: 0.15,396: 0.125,576: 0.125
921: 0.175,876: 0.175,396: 0.125,658: 0.125,129: 0.125
921: 0.175,876: 0.175,789: 0.125,875: 0.125,323: 0.125
921: 0.175,876: 0.175,129: 0.125,658: 0.125,960: 0.125
921: 0.175,876: 0.175,752: 0.125,875: 0.125,789: 0.125
921: 0.175,876: 0.175,702: 0.125,592: 0.125,875: 0.125
921: 0.175,876: 0.175,592: 0.125,752: 0.125,875: 0.125
389: 0.175,131: 0.175,471: 0.125,121: 0.125,501: 0.125
389: 0.175,131: 0.175,138: 0.175,471: 0.125,121: 0.125
389: 0.175,131: 0.175,138: 0.175,471: 0.125,121: 0.125
389: 0.175,131: 0.175,138: 0.175,515: 0.175,471: 0.125
138: 0.175,389: 0.175,131: 0.175,515: 0.175,471: 0.125
138: 0.175,389: 0.175,131: 0.175,515: 0.175,996: 0.175
515: 0.175,138: 0.175,389: 0.175,131: 0.175,996: 0.175
389: 0.175,138: 0.175,515: 0.175,131: 0.175,996: 0.175
389: 0.175,515: 0.175,996: 0.175,138: 0.175,131: 0.175
918: 0.175,448: 0.175,389: 0.175,138: 0.175,996: 0.175
918: 0.175,448: 0.175,515: 0.175,138: 0.175,996: 0.175
918: 0.175,996: 0.175,515: 0.175,448: 0.175,929: 0.15
918: 0.175,996: 0.175,515: 0.175,448: 0.175,915: 0.15
448: 0.175,918: 0.175,996: 0.175,929: 0.15,915: 0.15
448: 0.175,918: 0.175,996: 0.175,915: 0.15,929: 0.15
918: 0.175,996: 0.175,448: 0.175,929: 0.15,915: 0.15
996: 0.175,915: 0.15,635: 0.125,905: 0.125,100: 0.125
996: 0.175,915: 0.15,635: 0.125,162: 0.125,905: 0.125
996: 0.175,915: 0.15,635: 0.125,162: 0.125,905: 0.125
219: 0.125,905: 0.125,530: 0.125,838: 0.125,750: 0.125
219: 0.125,905: 0.125,530: 0.125,789: 0.125,156: 0.1
448: 0.175,458: 0.15,795: 0.125,100: 0.125,911: 0.1
448: 0.175,921: 0.175,458: 0.15,929: 0.15,913: 0.15
448: 0.175,921: 0.175,122: 0.175,458: 0.15,929: 0.15
448: 0.175,921: 0.175,122: 0.175,965: 0.175,404: 0.175
921: 0.175,448: 0.175,122: 0.175,965: 0.175,404: 0.175
141: 0.275,921: 0.175,448: 0.175,122: 0.175,965: 0.175
141: 0.275,965: 0.175,404: 0.175,921: 0.175,448: 0.175
141: 0.275,839: 0.175,965: 0.175,404: 0.175,921: 0.175
141: 0.275,965: 0.175,839: 0.175,404: 0.175,921: 0.175
141: 0.275,965: 0.175,839: 0.175,404: 0.175,921: 0.175
141: 0.275,404: 0.175,921: 0.175,131: 0.175,389: 0.175
141: 0.275,404: 0.175,921: 0.175,131: 0.175,389: 0.175
141: 0.275,404: 0.175,921: 0.175,131: 0.175,448: 0.175
141: 0.275,456: 0.175,448: 0.175,389: 0.175,839: 0.175
141: 0.275,456: 0.175,448: 0.175,389: 0.175,839: 0.175
839: 0.175,921: 0.175,389: 0.175,448: 0.175,456: 0.175
921: 0.175,448: 0.175,389: 0.175,456: 0.175,839: 0.175
456: 0.175,448: 0.175,839: 0.175,942: 0.15,458: 0.15
448: 0.175,456: 0.175,458: 0.15,929: 0.15,789: 0.125
456: 0.175,458: 0.15,929: 0.15,789: 0.125,344: 0.125
929: 0.15,186: 0.125,507: 0.125,199: 0.125,365: 0.1
119: 0.175,457: 0.175,377: 0.125,438: 0.125,129: 0.125
119: 0.175,457: 0.175,404: 0.175,953: 0.175,377: 0.125
119: 0.175,457: 0.175,404: 0.175,953: 0.175,922: 0.15
119: 0.175,457: 0.175,404: 0.175,953: 0.175,448: 0.175
404: 0.175,119: 0.175,457: 0.175,953: 0.175,448: 0.175
404: 0.175,457: 0.175,953: 0.175,119: 0.175,448: 0.175
404: 0.175,119: 0.175,457: 0.175,953: 0.175,448: 0.175
448: 0.175,119: 0.175,457: 0.175,953: 0.175,404: 0.175
404: 0.175,448: 0.175,953: 0.175,457: 0.175,119: 0.175
404: 0.175,921: 0.175,448: 0.175,457: 0.175,119: 0.175
404: 0.175,921: 0.175,953: 0.175,448: 0.175,913: 0.15
921: 0.175,448: 0.175,953: 0.175,913: 0.15,782: 0.15
921: 0.175,953: 0.175,448: 0.175,782: 0.15,915: 0.15
921: 0.175,953: 0.175,782: 0.15,915: 0.15,945: 0.15
953: 0.175,921: 0.175,945: 0.15,915: 0.15,782: 0.15
