Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
919: 0.15715,918: 0.15,122: 0.1393,129: 0.11785,721: 0.1143
919: 0.15715,918: 0.15,122: 0.1393,129: 0.11785,721: 0.1143
919: 0.15715,918: 0.15,122: 0.1393,129: 0.11785,721: 0.1143
919: 0.15715,918: 0.15,122: 0.1393,721: 0.1143,None
919: 0.15715,918: 0.15,122: 0.1393,721: 0.1143,None
919: 0.15715,918: 0.15,122: 0.1393,129: 0.11785,721: 0.1143
721: 0.1143,None,None,None,None
919: 0.15715,918: 0.15,122: 0.1393,721: 0.1143,70: 0.0893
919: 0.15715,918: 0.15,122: 0.1393,129: 0.11785,31: 0.11785
919: 0.15715,918: 0.15,122: 0.1393,129: 0.11785,31: 0.11785
919: 0.15715,918: 0.15,122: 0.1393,129: 0.11785,31: 0.11785
129: 0.11785,31: 0.11785,568: 0.1107,434: 0.1,70: 0.0893
31: 0.11785,129: 0.11785,568: 0.1107,434: 0.1,70: 0.0893
31: 0.11785,129: 0.11785,568: 0.1107,434: 0.1,332: 0.06785
31: 0.11785,568: 0.1107,434: 0.1,332: 0.06785,None
31: 0.11785,568: 0.1107,434: 0.1,None,None
31: 0.11785,568: 0.1107,434: 0.1,None,None
31: 0.11785,568: 0.1107,434: 0.1,None,None
568: 0.1107,434: 0.1,None,None,None
568: 0.1107,None,None,None,None
507: 0.0893,135: 0.0857,None,None,None
507: 0.0893,135: 0.0857,None,None,None
507: 0.0893,135: 0.0857,None,None,None
507: 0.0893,135: 0.0857,None,None,None
507: 0.0893,905: 0.0893,135: 0.0857,None,None
507: 0.0893,905: 0.0893,135: 0.0857,None,None
507: 0.0893,905: 0.0893,135: 0.0857,None,None
938: 0.10715,905: 0.0893,507: 0.0893,135: 0.0857,None
500: 0.11785,938: 0.10715,905: 0.0893,507: 0.0893,135: 0.0857
500: 0.11785,938: 0.10715,905: 0.0893,507: 0.0893,135: 0.0857
500: 0.11785,938: 0.10715,905: 0.0893,None,None
500: 0.11785,938: 0.10715,905: 0.0893,None,None
500: 0.11785,938: 0.10715,905: 0.0893,None,None
500: 0.11785,938: 0.10715,905: 0.0893,None,None
500: 0.11785,938: 0.10715,None,None,None
500: 0.11785,938: 0.10715,None,None,None
500: 0.11785,938: 0.10715,None,None,None
500: 0.11785,None,None,None,None
None,None,None,None,None
None,None,None,None,None
833: 0.0893,None,None,None,None
129: 0.11785,833: 0.0893,None,None,None
129: 0.11785,93: 0.09645,833: 0.0893,507: 0.0893,None
129: 0.11785,93: 0.09645,833: 0.0893,507: 0.0893,732: 0.0893
129: 0.11785,417: 0.1107,93: 0.09645,833: 0.0893,507: 0.0893
129: 0.11785,40: 0.1143,417: 0.1107,576: 0.1,93: 0.09645
129: 0.11785,40: 0.1143,417: 0.1107,576: 0.1,93: 0.09645
129: 0.11785,40: 0.1143,714: 0.1143,417: 0.1107,576: 0.1
129: 0.11785,40: 0.1143,714: 0.1143,417: 0.1107,576: 0.1
129: 0.11785,40: 0.1143,714: 0.1143,417: 0.1107,576: 0.1
129: 0.11785,714: 0.1143,40: 0.1143,417: 0.1107,576: 0.1
714: 0.1143,40: 0.1143,417: 0.1107,100: 0.1,576: 0.1
714: 0.1143,40: 0.1143,417: 0.1107,100: 0.1,576: 0.1
714: 0.1143,40: 0.1143,417: 0.1107,576: 0.1,100: 0.1
714: 0.1143,40: 0.1143,576: 0.1,100: 0.1,868: 0.06785
714: 0.1143,576: 0.1,100: 0.1,868: 0.06785,None
714: 0.1143,100: 0.1,None,None,None
100: 0.1,None,None,None,None
None,None,None,None,None
265: 0.11785,None,None,None,None
265: 0.11785,None,None,None,None
929: 0.14645,265: 0.11785,415: 0.1,None,None
929: 0.14645,265: 0.11785,415: 0.1,8: 0.1,732: 0.0893
929: 0.14645,265: 0.11785,676: 0.10355,415: 0.1,8: 0.1
929: 0.14645,265: 0.11785,676: 0.10355,415: 0.1,8: 0.1
929: 0.14645,265: 0.11785,676: 0.10355,415: 0.1,8: 0.1
929: 0.14645,808: 0.12145,265: 0.11785,676: 0.10355,102: 0.1
929: 0.14645,808: 0.12145,265: 0.11785,676: 0.10355,878: 0.10355
929: 0.14645,808: 0.12145,265: 0.11785,676: 0.10355,878: 0.10355
929: 0.14645,808: 0.12145,676: 0.10355,878: 0.10355,102: 0.1
929: 0.14645,784: 0.14645,808: 0.12145,41: 0.1143,878: 0.10355
784: 0.14645,808: 0.12145,41: 0.1143,878: 0.10355,676: 0.10355
784: 0.14645,808: 0.12145,41: 0.1143,878: 0.10355,676: 0.10355
784: 0.14645,808: 0.12145,41: 0.1143,878: 0.10355,910: 0.1
784: 0.14645,808: 0.12145,41: 0.1143,878: 0.10355,305: 0.1
784: 0.14645,808: 0.12145,41: 0.1143,878: 0.10355,740: 0.09645
784: 0.14645,41: 0.1143,878: 0.10355,740: 0.09645,507: 0.0893
784: 0.14645,41: 0.1143,878: 0.10355,740: 0.09645,507: 0.0893
784: 0.14645,41: 0.1143,878: 0.10355,740: 0.09645,507: 0.0893
784: 0.14645,41: 0.1143,878: 0.10355,507: 0.0893,None
43: 0.09645,833: 0.0893,None,None,None
488: 0.11785,712: 0.1143,43: 0.09645,842: 0.09645,833: 0.0893
782: 0.14645,488: 0.11785,712: 0.1143,911: 0.10355,43: 0.09645
782: 0.14645,488: 0.11785,712: 0.1143,911: 0.10355,162: 0.1
782: 0.14645,488: 0.11785,692: 0.11785,712: 0.1143,194: 0.1143
782: 0.14645,808: 0.12145,488: 0.11785,692: 0.11785,712: 0.1143
