Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
918: 0.175,919: 0.125,129: 0.125,31: 0.125,70: 0.075
434: 0.125,129: 0.125,31: 0.125,70: 0.075,None
434: 0.125,31: 0.125,129: 0.125,70: 0.075,None
918: 0.175,919: 0.125,None,None,None
434: 0.125,31: 0.125,None,None,None
918: 0.175,919: 0.125,129: 0.125,70: 0.075,None
434: 0.125,31: 0.125,None,None,None
918: 0.175,919: 0.125,129: 0.125,70: 0.075,None
918: 0.175,919: 0.125,70: 0.075,None,None
434: 0.125,31: 0.125,None,None,None
918: 0.175,919: 0.125,434: 0.125,129: 0.125,31: 0.125
918: 0.175,919: 0.125,434: 0.125,129: 0.125,31: 0.125
918: 0.175,919: 0.125,129: 0.125,70: 0.075,None
434: 0.125,None,None,None,None
918: 0.175,919: 0.125,None,None,None
434: 0.125,31: 0.125,129: 0.125,None,None
918: 0.175,919: 0.125,129: 0.125,70: 0.075,None
434: 0.125,31: 0.125,None,None,None
135: 0.125,None,None,None,None
135: 0.125,None,None,None,None
135: 0.125,None,None,None,None
135: 0.125,None,None,None,None
135: 0.125,905: 0.125,None,None,None
135: 0.125,905: 0.125,None,None,None
135: 0.125,905: 0.125,None,None,None
905: 0.125,135: 0.125,938: 0.125,None,None
905: 0.125,135: 0.125,938: 0.125,500: 0.075,None
905: 0.125,135: 0.125,938: 0.125,500: 0.075,None
905: 0.125,938: 0.125,500: 0.075,None,None
905: 0.125,938: 0.125,500: 0.075,None,None
905: 0.125,938: 0.125,500: 0.075,None,None
905: 0.125,938: 0.125,500: 0.075,None,None
938: 0.125,500: 0.075,None,None,None
938: 0.125,500: 0.075,None,None,None
938: 0.125,500: 0.075,None,None,None
500: 0.075,None,None,None,None
404: 0.125,None,None,None,None
404: 0.125,None,None,None,None
404: 0.125,833: 0.1,None,None,None
404: 0.125,129: 0.125,833: 0.1,None,None
404: 0.125,129: 0.125,833: 0.1,93: 0.075,None
732: 0.15,404: 0.125,129: 0.125,833: 0.1,93: 0.075
732: 0.15,404: 0.125,129: 0.125,833: 0.1,417: 0.1
732: 0.15,404: 0.125,129: 0.125,833: 0.1,417: 0.1
732: 0.15,404: 0.125,129: 0.125,833: 0.1,417: 0.1
732: 0.15,404: 0.125,129: 0.125,714: 0.125,833: 0.1
732: 0.15,129: 0.125,714: 0.125,100: 0.125,833: 0.1
732: 0.15,129: 0.125,714: 0.125,100: 0.125,833: 0.1
732: 0.15,714: 0.125,129: 0.125,100: 0.125,417: 0.1
732: 0.15,714: 0.125,100: 0.125,417: 0.1,40: 0.1
732: 0.15,714: 0.125,100: 0.125,417: 0.1,40: 0.1
714: 0.125,100: 0.125,40: 0.1,417: 0.1,868: 0.075
714: 0.125,100: 0.125,40: 0.1,868: 0.075,None
714: 0.125,100: 0.125,868: 0.075,None,None
714: 0.125,100: 0.125,None,None,None
100: 0.125,None,None,None,None
156: 0.125,265: 0.125,None,None,None
156: 0.125,265: 0.125,None,None,None
156: 0.125,265: 0.125,8: 0.075,None,None
156: 0.125,265: 0.125,None,None,None
915: 0.175,545: 0.15,156: 0.125,265: 0.125,102: 0.125
545: 0.15,156: 0.125,265: 0.125,102: 0.125,100: 0.125
915: 0.175,545: 0.15,156: 0.125,265: 0.125,102: 0.125
915: 0.175,545: 0.15,102: 0.125,156: 0.125,100: 0.125
915: 0.175,545: 0.15,102: 0.125,156: 0.125,100: 0.125
915: 0.175,545: 0.15,102: 0.125,100: 0.125,842: 0.125
915: 0.175,545: 0.15,102: 0.125,100: 0.125,614: 0.125
915: 0.175,545: 0.15,102: 0.125,100: 0.125,614: 0.125
915: 0.175,545: 0.15,102: 0.125,100: 0.125,614: 0.125
915: 0.175,545: 0.15,102: 0.125,100: 0.125,614: 0.125
915: 0.175,41: 0.125,614: 0.125,878: 0.125,784: 0.125
41: 0.125,614: 0.125,878: 0.125,784: 0.125,808: 0.1
41: 0.125,614: 0.125,878: 0.125,784: 0.125,808: 0.1
41: 0.125,784: 0.125,878: 0.125,None,None
41: 0.125,784: 0.125,None,None,None
41: 0.125,784: 0.125,None,None,None
41: 0.125,784: 0.125,None,None,None
833: 0.1,None,None,None,None
842: 0.125,833: 0.1,None,None,None
782: 0.15,842: 0.125,833: 0.1,968: 0.1,None
782: 0.15,842: 0.125,833: 0.1,968: 0.1,None
782: 0.15,842: 0.125,194: 0.125,993: 0.125,833: 0.1
782: 0.15,658: 0.15,842: 0.125,194: 0.125,993: 0.125
782: 0.15,658: 0.15,842: 0.125,194: 0.125,993: 0.125
782: 0.15,658: 0.15,194: 0.125,842: 0.125,993: 0.125
782: 0.15,658: 0.15,683: 0.15,960: 0.125,194: 0.125
782: 0.15,658: 0.15,683: 0.15,960: 0.125,194: 0.125
782: 0.15,658: 0.15,683: 0.15,960: 0.125,194: 0.125
782: 0.15,683: 0.15,658: 0.15,960: 0.125,194: 0.125
782: 0.15,683: 0.15,658: 0.15,960: 0.125,194: 0.125
782: 0.15,683: 0.15,658: 0.15,960: 0.125,194: 0.125
782: 0.15,683: 0.15,658: 0.15,960: 0.125,556: 0.125
782: 0.15,683: 0.15,556: 0.125,501: 0.125,842: 0.125
782: 0.15,683: 0.15,556: 0.125,501: 0.125,20: 0.075
782: 0.15,683: 0.15,556: 0.125,501: 0.125,20: 0.075
501: 0.125,556: 0.125,20: 0.075,None,None
501: 0.125,556: 0.125,20: 0.075,None,None
501: 0.125,556: 0.125,None,None,None
16: 0.15,699: 0.125,296: 0.1,None,None
