Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
4931: 0.11,None,None,None,None
4931: 0.11,None,None,None,None
4931: 0.11,None,None,None,None
4931: 0.11,None,None,None,None
4931: 0.11,None,None,None,None
4931: 0.11,None,None,None,None
4931: 0.11,None,None,None,None
4931: 0.11,None,None,None,None
4931: 0.11,None,None,None,None
4931: 0.11,None,None,None,None
4931: 0.11,538: 0.11,9106: 0.09335,None,None
4931: 0.11,538: 0.11,618: 0.11,9106: 0.09335,None
4931: 0.11,538: 0.11,618: 0.11,9106: 0.09335,None
4931: 0.11,538: 0.11,618: 0.11,9106: 0.09335,480: 0.09
4931: 0.11,618: 0.11,538: 0.11,232: 0.11,9106: 0.09335
4931: 0.11,618: 0.11,538: 0.11,232: 0.11,9106: 0.09335
1531: 0.16,4931: 0.11,618: 0.11,538: 0.11,232: 0.11
1531: 0.16,4931: 0.11,618: 0.11,538: 0.11,232: 0.11
1531: 0.16,4931: 0.11,618: 0.11,232: 0.11,538: 0.11
1531: 0.16,4931: 0.11,345: 0.11,618: 0.11,232: 0.11
1531: 0.16,345: 0.11,4931: 0.11,618: 0.11,232: 0.11
1531: 0.16,8301: 0.11,232: 0.11,396: 0.11,5959: 0.11
1531: 0.16,8301: 0.11,232: 0.11,396: 0.11,5959: 0.11
1531: 0.16,8301: 0.11,232: 0.11,396: 0.11,5959: 0.11
1531: 0.16,8301: 0.11,6021: 0.11,396: 0.11,5959: 0.11
1531: 0.16,6021: 0.11,8301: 0.11,396: 0.11,5959: 0.11
6021: 0.11,5959: 0.11,8260: 0.09,8228: 0.09,9102: 0.07335
6021: 0.11,8020: 0.07335,9102: 0.07335,None,None
6021: 0.11,8020: 0.07335,9102: 0.07335,None,None
6021: 0.11,9102: 0.07335,None,None,None
6021: 0.11,None,None,None,None
5005: 0.12665,342: 0.11,226: 0.09335,8270: 0.09,8609: 0.07335
5005: 0.12665,342: 0.11,4931: 0.11,226: 0.09335,8270: 0.09
5005: 0.12665,342: 0.11,4931: 0.11,7867: 0.11,226: 0.09335
5005: 0.12665,342: 0.11,4931: 0.11,7867: 0.11,396: 0.11
5005: 0.12665,342: 0.11,4931: 0.11,7867: 0.11,396: 0.11
752: 0.14,5005: 0.12665,7867: 0.11,342: 0.11,4931: 0.11
752: 0.14,5005: 0.12665,7867: 0.11,396: 0.11,342: 0.11
752: 0.14,5005: 0.12665,7867: 0.11,6290: 0.11,5779: 0.11
752: 0.14,5005: 0.12665,7867: 0.11,6290: 0.11,396: 0.11
752: 0.14,5005: 0.12665,7867: 0.11,6290: 0.11,5779: 0.11
1531: 0.16,4552: 0.16,752: 0.14,8687: 0.14,5005: 0.12665
1531: 0.16,4552: 0.16,5072: 0.16,752: 0.14,8687: 0.14
1531: 0.16,4552: 0.16,5072: 0.16,752: 0.14,8687: 0.14
1531: 0.16,4552: 0.16,5072: 0.16,8687: 0.14,752: 0.14
5072: 0.16,1531: 0.16,4552: 0.16,8687: 0.14,752: 0.14
5072: 0.16,1531: 0.16,4552: 0.16,8687: 0.14,5005: 0.12665
5072: 0.16,4552: 0.16,1531: 0.16,8687: 0.14,5005: 0.12665
5072: 0.16,4552: 0.16,1531: 0.16,8687: 0.14,5005: 0.12665
5072: 0.16,1531: 0.16,4552: 0.16,8687: 0.14,5005: 0.12665
5072: 0.16,1531: 0.16,4552: 0.16,8687: 0.14,5005: 0.12665
5072: 0.16,122: 0.12665,1145: 0.11,121: 0.09,8270: 0.09
9494: 0.09,8164: 0.09,4893: 0.09,None,None
4552: 0.16,5005: 0.12665,880: 0.11,562: 0.11,4131: 0.11
4552: 0.16,9146: 0.16,5005: 0.12665,880: 0.11,562: 0.11
4552: 0.16,9146: 0.16,9669: 0.16,8425: 0.14,5005: 0.12665
4552: 0.16,9146: 0.16,9669: 0.16,8425: 0.14,5005: 0.12665
4552: 0.16,9146: 0.16,9669: 0.16,8425: 0.14,4604: 0.14
9669: 0.16,9146: 0.16,4552: 0.16,9246: 0.16,8425: 0.14
9669: 0.16,4552: 0.16,9146: 0.16,9246: 0.16,8425: 0.14
9669: 0.16,4552: 0.16,9146: 0.16,9246: 0.16,5072: 0.16
