Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
4931: 0.122,None,None,None,None
4931: 0.122,None,None,None,None
4931: 0.122,None,None,None,None
4931: 0.122,None,None,None,None
4931: 0.122,None,None,None,None
4931: 0.122,None,None,None,None
4931: 0.122,None,None,None,None
4931: 0.122,None,None,None,None
4931: 0.122,None,None,None,None
4931: 0.122,None,None,None,None
538: 0.276,4931: 0.122,9106: 0.114,None,None
538: 0.276,618: 0.172,4931: 0.122,9106: 0.114,None
538: 0.276,618: 0.172,4931: 0.122,9106: 0.114,None
480: 0.314,538: 0.276,618: 0.172,4931: 0.122,7364: 0.122
480: 0.314,538: 0.276,618: 0.172,4931: 0.122,7364: 0.122
480: 0.314,538: 0.276,618: 0.172,4931: 0.122,7364: 0.122
480: 0.314,538: 0.276,396: 0.176,618: 0.172,345: 0.172
480: 0.314,538: 0.276,396: 0.176,618: 0.172,345: 0.172
480: 0.314,538: 0.276,396: 0.176,618: 0.172,345: 0.172
480: 0.314,538: 0.276,396: 0.176,345: 0.172,618: 0.172
480: 0.314,396: 0.176,345: 0.172,618: 0.172,1531: 0.126
480: 0.314,396: 0.176,345: 0.172,1531: 0.126,7364: 0.122
480: 0.314,396: 0.176,345: 0.172,1531: 0.126,7364: 0.122
396: 0.176,345: 0.172,1531: 0.126,9100: 0.118,9102: 0.114
396: 0.176,345: 0.172,1531: 0.126,9102: 0.114,6021: 0.114
396: 0.176,345: 0.172,1531: 0.126,9102: 0.114,6021: 0.114
9102: 0.114,6021: 0.114,8020: 0.11,8260: 0.11,9073: 0.11
6021: 0.114,9102: 0.114,8020: 0.11,None,None
6021: 0.114,9102: 0.114,8020: 0.11,None,None
9102: 0.114,6021: 0.114,None,None,None
6021: 0.114,None,None,None,None
342: 0.144,5005: 0.118,8270: 0.11,8609: 0.11,226: 0.094
342: 0.144,7364: 0.122,4931: 0.122,5005: 0.118,8270: 0.11
342: 0.144,7364: 0.122,4931: 0.122,5005: 0.118,4920: 0.118
396: 0.176,342: 0.144,7364: 0.122,4931: 0.122,5005: 0.118
396: 0.176,342: 0.144,6290: 0.13,4494: 0.126,7364: 0.122
396: 0.176,342: 0.144,6290: 0.13,4494: 0.126,4931: 0.122
396: 0.176,342: 0.144,6290: 0.13,4494: 0.126,7364: 0.122
396: 0.176,342: 0.144,6290: 0.13,4494: 0.126,7364: 0.122
396: 0.176,342: 0.144,6290: 0.13,4494: 0.126,7364: 0.122
396: 0.176,342: 0.144,6290: 0.13,4494: 0.126,8183: 0.122
396: 0.176,4552: 0.172,7926: 0.164,6290: 0.13,5109: 0.13
396: 0.176,4552: 0.172,7926: 0.164,6290: 0.13,5109: 0.13
396: 0.176,4552: 0.172,7926: 0.164,6290: 0.13,5109: 0.13
4552: 0.172,7926: 0.164,6290: 0.13,5109: 0.13,4494: 0.126
4552: 0.172,7926: 0.164,5109: 0.13,4494: 0.126,1531: 0.126
4552: 0.172,7926: 0.164,5109: 0.13,1531: 0.126,5072: 0.122
4552: 0.172,7926: 0.164,5109: 0.13,1531: 0.126,8183: 0.122
4552: 0.172,7926: 0.164,5109: 0.13,1531: 0.126,5072: 0.122
4552: 0.172,7926: 0.164,5109: 0.13,1531: 0.126,5072: 0.122
4552: 0.172,7926: 0.164,5109: 0.13,1531: 0.126,5072: 0.122
5072: 0.122,3758: 0.122,4030: 0.122,1145: 0.122,8281: 0.118
8164: 0.114,4893: 0.114,9494: 0.11,None,None
562: 0.176,4552: 0.172,2046: 0.122,4131: 0.122,5005: 0.118
562: 0.176,4552: 0.172,9146: 0.168,2046: 0.122,4131: 0.122
562: 0.176,4552: 0.172,9146: 0.168,9669: 0.164,8425: 0.156
562: 0.176,4552: 0.172,9146: 0.168,359: 0.168,9669: 0.164
562: 0.176,4552: 0.172,9146: 0.168,359: 0.168,4604: 0.168
562: 0.176,4552: 0.172,9146: 0.168,359: 0.168,4604: 0.168
562: 0.176,4552: 0.172,359: 0.168,9146: 0.168,4604: 0.168
562: 0.176,4552: 0.172,359: 0.168,4604: 0.168,9146: 0.168
562: 0.176,4552: 0.172,359: 0.168,9146: 0.168,4604: 0.168
562: 0.176,396: 0.176,4552: 0.172,359: 0.168,9146: 0.168
396: 0.176,359: 0.168,4604: 0.168,9146: 0.168,316: 0.168
396: 0.176,359: 0.168,316: 0.168,4604: 0.168,9669: 0.164
396: 0.176,4604: 0.168,316: 0.168,359: 0.168,9246: 0.164
396: 0.176,4604: 0.168,316: 0.168,7702: 0.164,9246: 0.164
396: 0.176,316: 0.168,9246: 0.164,7702: 0.164,353: 0.156
396: 0.176,316: 0.168,7702: 0.164,353: 0.156,431: 0.14
396: 0.176,316: 0.168,7702: 0.164,353: 0.156,431: 0.14
396: 0.176,316: 0.168,7702: 0.164,353: 0.156,431: 0.14
396: 0.176,353: 0.156,431: 0.14,8799: 0.126,4931: 0.122
353: 0.156,431: 0.14,8799: 0.126,4931: 0.122,5387: 0.122
3674: 0.122,5387: 0.122,7364: 0.122,1111: 0.122,4920: 0.118
396: 0.176,344: 0.168,6291: 0.126,3674: 0.122,5387: 0.122
396: 0.176,344: 0.168,7813: 0.164,9151: 0.16,6291: 0.126
396: 0.176,344: 0.168,349: 0.168,479: 0.168,7813: 0.164
396: 0.176,344: 0.168,349: 0.168,479: 0.168,379: 0.168
396: 0.176,344: 0.168,349: 0.168,479: 0.168,379: 0.168
396: 0.176,344: 0.168,349: 0.168,479: 0.168,379: 0.168
396: 0.176,379: 0.168,349: 0.168,479: 0.168,344: 0.168
396: 0.176,379: 0.168,349: 0.168,479: 0.168,344: 0.168
396: 0.176,379: 0.168,479: 0.168,349: 0.168,344: 0.168
396: 0.176,379: 0.168,349: 0.168,479: 0.168,344: 0.168
345: 0.172,379: 0.168,316: 0.168,370: 0.168,349: 0.168
345: 0.172,379: 0.168,370: 0.168,316: 0.168,479: 0.168
345: 0.172,9146: 0.168,379: 0.168,370: 0.168,316: 0.168
345: 0.172,9146: 0.168,370: 0.168,316: 0.168,349: 0.168
345: 0.172,370: 0.168,316: 0.168,349: 0.168,9146: 0.168
345: 0.172,370: 0.168,316: 0.168,349: 0.168,9146: 0.168
345: 0.172,370: 0.168,316: 0.168,9146: 0.168,389: 0.164
345: 0.172,9146: 0.168,389: 0.164,5109: 0.13,6958: 0.13
345: 0.172,389: 0.164,5109: 0.13,6958: 0.13,283: 0.126
345: 0.172,5109: 0.13,8799: 0.126,8608: 0.122,4737: 0.122
