Suggestion 1, Suggestion 2, Suggestion 3, Suggestion 4, Suggestion 5
918: 0.15,919: 0.14,31: 0.115,434: 0.105,70: 0.08
918: 0.15,919: 0.14,31: 0.115,434: 0.105,70: 0.08
918: 0.15,919: 0.14,70: 0.08,None,None
31: 0.115,434: 0.105,None,None,None
918: 0.15,919: 0.14,70: 0.08,None,None
31: 0.115,434: 0.105,None,None,None
918: 0.15,919: 0.14,70: 0.08,None,None
31: 0.115,434: 0.105,70: 0.08,None,None
918: 0.15,919: 0.14,None,None,None
31: 0.115,434: 0.105,None,None,None
918: 0.15,919: 0.14,None,None,None
31: 0.115,434: 0.105,None,None,None
31: 0.115,434: 0.105,70: 0.08,None,None
918: 0.15,919: 0.14,70: 0.08,None,None
434: 0.105,None,None,None,None
918: 0.15,919: 0.14,31: 0.115,70: 0.08,None
918: 0.15,919: 0.14,70: 0.08,None,None
31: 0.115,434: 0.105,None,None,None
135: 0.1,None,None,None,None
135: 0.1,None,None,None,None
135: 0.1,None,None,None,None
135: 0.1,None,None,None,None
135: 0.1,905: 0.07835,None,None,None
135: 0.1,905: 0.07835,None,None,None
135: 0.1,905: 0.07835,None,None,None
135: 0.1,938: 0.1,905: 0.07835,None,None
135: 0.1,938: 0.1,905: 0.07835,500: 0.07335,None
135: 0.1,938: 0.1,905: 0.07835,500: 0.07335,None
938: 0.1,905: 0.07835,500: 0.07335,None,None
938: 0.1,905: 0.07835,500: 0.07335,None,None
938: 0.1,905: 0.07835,500: 0.07335,None,None
938: 0.1,905: 0.07835,500: 0.07335,None,None
938: 0.1,500: 0.07335,None,None,None
938: 0.1,500: 0.07335,None,None,None
938: 0.1,500: 0.07335,None,None,None
500: 0.07335,None,None,None,None
404: 0.09335,None,None,None,None
404: 0.09335,None,None,None,None
404: 0.09335,833: 0.08835,None,None,None
404: 0.09335,833: 0.08835,None,None,None
404: 0.09335,833: 0.08835,None,None,None
404: 0.09335,732: 0.09,833: 0.08835,None,None
404: 0.09335,417: 0.09335,732: 0.09,833: 0.08835,None
40: 0.1,404: 0.09335,417: 0.09335,732: 0.09,833: 0.08835
40: 0.1,404: 0.09335,417: 0.09335,732: 0.09,833: 0.08835
40: 0.1,404: 0.09335,417: 0.09335,732: 0.09,833: 0.08835
40: 0.1,417: 0.09335,732: 0.09,833: 0.08835,100: 0.08835
40: 0.1,417: 0.09335,732: 0.09,833: 0.08835,100: 0.08835
40: 0.1,417: 0.09335,732: 0.09,100: 0.08835,714: 0.085
40: 0.1,417: 0.09335,732: 0.09,100: 0.08835,714: 0.085
40: 0.1,417: 0.09335,732: 0.09,100: 0.08835,714: 0.085
40: 0.1,417: 0.09335,100: 0.08835,714: 0.085,868: 0.06335
40: 0.1,100: 0.08835,714: 0.085,868: 0.06335,None
100: 0.08835,714: 0.085,868: 0.06335,None,None
100: 0.08835,714: 0.085,None,None,None
100: 0.08835,None,None,None,None
156: 0.095,265: 0.08835,None,None,None
156: 0.095,265: 0.08835,8: 0.08,None,None
156: 0.095,265: 0.08835,None,None,None
156: 0.095,265: 0.08835,None,None,None
915: 0.14,156: 0.095,842: 0.095,545: 0.09,265: 0.08835
156: 0.095,842: 0.095,545: 0.09,265: 0.08835,100: 0.08835
915: 0.14,156: 0.095,842: 0.095,545: 0.09,265: 0.08835
915: 0.14,808: 0.11,156: 0.095,842: 0.095,545: 0.09
915: 0.14,808: 0.11,878: 0.1,156: 0.095,842: 0.095
915: 0.14,808: 0.11,878: 0.1,842: 0.095,156: 0.095
915: 0.14,808: 0.11,878: 0.1,842: 0.095,545: 0.09
915: 0.14,784: 0.125,808: 0.11,878: 0.1,842: 0.095
915: 0.14,784: 0.125,808: 0.11,878: 0.1,842: 0.095
915: 0.14,784: 0.125,808: 0.11,878: 0.1,842: 0.095
915: 0.14,784: 0.125,808: 0.11,878: 0.1,614: 0.08
784: 0.125,808: 0.11,878: 0.1,614: 0.08,None
784: 0.125,808: 0.11,878: 0.1,614: 0.08,None
784: 0.125,878: 0.1,None,None,None
784: 0.125,None,None,None,None
784: 0.125,None,None,None,None
784: 0.125,None,None,None,None
833: 0.08835,None,None,None,None
842: 0.095,833: 0.08835,None,None,None
782: 0.15,842: 0.095,968: 0.095,833: 0.08835,None
782: 0.15,842: 0.095,968: 0.095,833: 0.08835,None
782: 0.15,194: 0.09835,842: 0.095,968: 0.095,941: 0.095
782: 0.15,960: 0.11,808: 0.11,488: 0.105,194: 0.09835
782: 0.15,960: 0.11,808: 0.11,488: 0.105,194: 0.09835
782: 0.15,960: 0.11,808: 0.11,488: 0.105,194: 0.09835
782: 0.15,960: 0.11,808: 0.11,488: 0.105,194: 0.09835
782: 0.15,960: 0.11,808: 0.11,488: 0.105,194: 0.09835
782: 0.15,960: 0.11,808: 0.11,488: 0.105,194: 0.09835
782: 0.15,960: 0.11,808: 0.11,488: 0.105,194: 0.09835
782: 0.15,960: 0.11,808: 0.11,488: 0.105,194: 0.09835
782: 0.15,960: 0.11,808: 0.11,488: 0.105,194: 0.09835
782: 0.15,960: 0.11,808: 0.11,488: 0.105,683: 0.095
782: 0.15,683: 0.095,501: 0.095,842: 0.095,323: 0.08835
782: 0.15,683: 0.095,501: 0.095,556: 0.08,20: 0.06335
782: 0.15,683: 0.095,501: 0.095,556: 0.08,20: 0.06335
501: 0.095,556: 0.08,20: 0.06335,None,None
501: 0.095,556: 0.08,20: 0.06335,None,None
501: 0.095,556: 0.08,None,None,None
296: 0.11665,699: 0.1,16: 0.06835,None,None
